PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Radiant temperature (¡C),Globe temperature (¡C),Humidity sensation,Outdoor monthly air temperature (¡F)
0,5,25.11,0.69,1.2,23.7,33.7,0.03,0,23.9,23.8,1,53.1
-0.1,5,24.67,0.66,1.2,23.4,34.7,0.07,-2,23.6,23.5,0,53.1
-0.1,5,25.01,0.73,1.2,22.4,38.7,0.03,0,23.8,23.4,0,53.1
0.5,11,27.65,0.75,1.6,23,35.1,0.05,0,23.4,23.3,-1,53.1
0.4,9,27.28,0.97,1.2,23.9,35.3,0.03,1,24.1,24.1,1,53.1
0.7,15,28.47,0.84,1.6,23.6,34.1,0.04,0,24,23.9,1,53.1
0.2,6,26.39,0.92,1.2,23.3,33.7,0.06,0,23.5,23.4,0,53.1
0.5,9,27.15,0.68,1.7,22.9,36.8,0.03,0,22.6,22.7,1,53.1
0.7,15,28.09,0.61,1.8,23.7,33.3,0.05,1,24.3,24.1,0,53.1
0.7,16,28.58,0.67,1.9,22.5,36.2,0.03,1,23.3,23.1,0,53.1
0.5,10,27.49,0.89,1.4,23.2,34.2,0.04,0,23.6,23.5,1,53.1
0.5,11,27.73,0.93,1.4,23.4,27.1,0.03,0,23.2,23.3,0,48.9
0.3,6,26.07,0.71,1.3,24,27.1,0.03,1,24.2,24.1,0,48.9
0.1,5,25.68,0.73,1.2,23.9,28.1,0.03,0,24.5,24.3,0,48.9
0.6,12,27.79,1,1.2,24.6,26.8,0.02,1,24.9,24.9,1,48.9
0.5,10,27.16,0.87,1.2,24.8,26.6,0.03,1,25.1,25,2,48.9
0.5,10,27.29,0.92,1.2,23.9,26.9,0.05,0,25.3,24.8,0,48.9
0.2,6,25.86,0.78,1.2,23.9,27,0.03,0,24.3,24.2,1,48.9
0.5,10,27.04,0.68,1.4,23.7,27.9,0.04,0,25.3,24.8,1,48.9
0.8,18,29.22,0.96,1.6,23.6,27.8,0.06,0,24.3,24.1,0,48.9
0.2,6,25.54,0.63,1.2,24.8,25.9,0.07,1,25.1,25,0,48.9
0.8,17,28.82,1,1.4,24.4,25.7,0.03,0,24.9,24.7,0,48.9
0.1,5,25.26,0.65,1.2,24.3,25,0.04,0,24.7,24.5,0,48.9
0,5,25.01,0.71,1.3,22.9,25.7,0.03,0,22.9,22.9,2,48.9
-0.1,5,24.9,0.73,1.2,23.4,25.8,0.03,0,23.4,23.4,1,48.9
0.4,8,26.85,0.69,1.6,22.8,31.2,0.04,0,23.1,23,0,51.4
0.1,5,25.74,0.86,1.2,22.7,30.5,0.04,0,23.6,23.3,0,51.4
0,5,25.45,0.82,1.2,22.8,30,0.05,0,23.5,23.3,0,51.4
-0.3,7,24.23,0.66,1.2,22.7,29.6,0.04,0,23.4,23.2,0,51.4
0.7,15,28.76,0.96,1.6,23.5,26.7,0.03,1,23.4,23.5,0,51.4
0.4,8,26.55,0.66,1.6,23.6,23.1,0.04,0,23.7,23.7,0,51.4
0.1,5,25.67,0.81,1.2,23.2,24.8,0.04,0,24.1,23.8,0,51.4
0.1,5,25.6,0.85,1.2,23.1,23.8,0.04,0,23.5,23.4,0,51.4
0.5,9,26.55,0.53,1.8,23.4,22.7,0.06,0,23.6,23.5,0,51.4
-0.2,6,24.35,0.65,1.2,23.1,23.2,0.04,0,23.7,23.5,1,51.4
-0.6,13,23.04,0.65,1.2,21.4,33,0.03,0,22.1,21.9,0,54.6
-0.1,5,24.74,0.61,1.4,22.4,33.1,0.03,0,23,22.9,0,54.6
0.1,5,25.65,0.82,1.2,22.8,31.3,0.04,-1,23.8,23.5,1,54.6
0.2,6,26.26,0.87,1.2,22.9,29.8,0.06,0,24.4,23.8,1,54.6
-0.2,6,24.88,0.81,1.2,21.5,34.4,0.04,0,23.2,22.7,0,54.6
-0.3,6,24.32,0.72,1.2,22.5,31.3,0.05,-1,22.8,22.7,1,54.6
-0.1,5,24.87,0.73,1.2,23,27.6,0.03,0,23.5,23.4,0,54.6
0.3,8,26.72,0.74,1.6,22.4,26.2,0.06,-1,23.3,23,0,54.6
0.4,9,26.97,0.75,1.6,23.7,25.1,0.04,0,22.9,23.2,0,54.6
-0.2,6,24.37,0.73,1.2,22.5,31.7,0.03,0,22.8,22.7,0,59.4
0.5,10,26.92,0.67,1.6,23.9,29,0.08,0,23.7,23.8,0,59.4
-0.2,6,24.83,0.67,1.2,23.3,30.6,0.12,0,23.9,23.6,0,59.4
-0.1,5,24.83,0.73,1.2,22.8,30.8,0.04,0,23.5,23.3,0,59.4
0.3,7,26.29,0.49,1.7,23.9,28.7,0.13,0,23.6,23.7,0,59.4
0,5,24.98,0.67,1.2,23.6,27.5,0.04,0,24.2,24,0,59.4
0.1,5,25.45,0.72,1.2,23.4,29.8,0.04,0,24.4,24.1,0,59.4
0.8,19,29.13,0.87,1.6,24.2,29,0.05,0,25,24.7,0,59.4
0,5,25.09,0.6,1.2,24.1,27.3,0.06,0,25,24.7,0,59.4
0.2,6,25.79,0.71,1.3,23.6,29.4,0.06,1,23.7,23.7,0,59.4
-0.1,5,24.61,0.57,1.2,24.3,26.9,0.04,0,24.4,24.4,0,59.4
0.8,17,28.19,0.62,1.8,24.4,26.7,0.06,0,24.2,24.3,0,59.4
0,5,24.83,0.58,1.2,24.7,24.9,0.07,-1,24.5,24.6,0,59.4
0.3,6,26.26,0.82,1.2,24,26.4,0.08,1,24.5,24.3,0,59.4
0.5,10,27.08,0.66,1.6,23.9,29.7,0.04,0,24.1,24.1,0,59.4
-0.2,6,24.65,0.73,1.2,22.8,27.8,0.2,0,24.5,23.6,1,59.4
0.6,12,27.37,0.67,1.4,24.2,27.4,0.08,0,25.8,25.1,1,59.4
-0.3,7,24.21,0.74,1.2,22,47.6,0.03,-1,22.1,22.1,0,57.7
-0.4,9,23.55,0.57,1.2,22.6,47.3,0.03,0,22.9,22.8,0,57.7
0,5,25.53,0.98,1.2,21.3,51.1,0.05,0,21.5,21.5,1,57.7
-0.3,7,24.24,0.63,1.2,21.9,49.1,0.05,0,23.6,23,0,57.7
0.2,6,26.13,0.62,1.6,22.2,48.6,0.02,0,22.8,22.6,0,57.7
-0.4,8,23.84,0.65,1.2,22.1,48.9,0.03,0,22.6,22.5,0,57.7
0.2,6,26.27,0.93,1.2,22.7,47.1,0.03,0,22.8,22.8,0,57.7
0.6,11,28.88,1.06,1.6,21.5,50.9,0.06,0,21.3,21.4,0,57.7
-0.2,6,24.61,0.72,1.2,22.5,47.9,0.02,-1,22.7,22.7,1,57.7
0.1,5,25.59,0.67,1.4,22.1,49.1,0.02,-1,22.4,22.3,0,57.7
0.4,8,26.88,0.7,1.6,22.5,48.4,0.03,0,22.6,22.6,1,57.7
0.4,9,27.57,1.11,1.2,22.7,47.7,0.03,0,22.9,22.8,0,57.7
-0.3,6,24,0.65,1.2,23.4,45.6,0.03,0,22.1,22.5,-1,57.7
0.9,22,29.79,0.62,2.2,22.5,48.7,0.04,0,22.6,22.5,0,57.7
-0.3,7,23.89,0.62,1.2,22.5,48.4,0.04,0,22.9,22.7,1,57.7
0.7,14,28.71,0.82,1.6,23.5,45,0.09,1,23.3,23.4,0,63.3
0.2,6,25.8,0.73,1.2,23.8,44,0.03,0,24,23.9,0,63.3
0.4,8,26.78,0.82,1.2,24.3,42.6,0.06,0,24.3,24.3,0,63.3
1.1,30,30.99,0.87,1.7,24.9,43.3,0.04,0,24.7,24.8,0,63.3
0.8,20,28.87,0.67,1.6,25,43.4,0.04,1,25,25,0,63.3
0,5,25.49,0.86,1.2,22.4,37.2,0.05,0,23,22.8,0,53.7
-0.2,6,24.62,0.73,1.2,22.6,35.1,0.03,0,23.1,22.9,0,53.7
0.3,6,25.96,0.55,1.7,22.6,34.5,0.02,0,22.9,22.8,0,53.7
-0.4,8,23.8,0.62,1.2,22.7,34.2,0.03,0,23,22.9,0,53.7
-0.1,5,24.81,0.72,1.2,22.9,34.7,0.07,0,23.3,23.2,0,53.7
-0.2,6,24.28,0.65,1.2,22.8,35.1,0.02,0,23.4,23.3,0,53.7
0.2,6,25.92,0.59,1.6,22.7,37.7,0.05,0,23.2,23,0,53.7
-0.1,5,24.72,0.64,1.3,22.5,49.3,0.03,0,22.6,22.5,1,61.2
0.2,5,25.71,0.57,1.6,22.4,49.1,0.03,-1,22.7,22.6,1,61.2
0.8,18,29.91,0.84,1.8,21.8,51.4,0.04,0,22.7,22.5,0,61.2
-0.1,5,24.73,0.58,1.2,23.8,45.9,0.04,1,24,23.9,0,61.2
0,5,25.1,0.63,1.2,23.9,46.7,0.05,0,23.8,23.9,0,61.2
0.5,10,27.16,0.57,1.6,24.1,46.7,0.03,1,24.2,24.2,-1,61.2
0.3,7,26.47,0.73,1.2,23.9,46.7,0.06,1,24.9,24.5,0,61.2
0.2,6,25.92,0.65,1.2,24.3,44.9,0.05,0,24.8,24.6,1,61.2
0.5,10,26.86,0.51,1.6,24,46.4,0.04,0,24.7,24.5,3,61.2
0.4,9,26.42,0.46,1.6,24.3,46.4,0.03,-1,24.6,24.5,0,61.2
0,5,25.28,0.83,1.2,22.2,56.1,0.03,0,22.3,22.2,1,62.7
0.1,5,25.79,0.83,1.2,22.5,54.3,0.04,1,23,22.8,0,62.7
0,5,25.13,0.67,1.2,23.1,51.1,0.02,0,23.8,23.6,0,62.7
0,5,25.16,0.63,1.2,23.3,51.5,0.04,-1,24.2,23.9,0,62.7
-0.1,5,24.97,0.63,1.2,23.1,51.1,0.03,0,24,23.7,1,62.7
0,5,25.13,0.62,1.2,23.2,50.9,0.06,1,24.3,23.9,2,62.7
-0.1,5,24.94,0.64,1.2,23,50.2,0.03,0,23.9,23.7,0,62.7
0.2,6,25.87,0.61,1.5,22.6,50.2,0.02,0,23.1,22.9,0,62.7
0.2,6,26.55,0.86,1.2,22.4,52.4,0.05,-1,24.1,23.5,0,62.7
-0.2,6,24.59,0.58,1.2,22.8,52.6,0.03,0,24.2,23.8,0,62.7
-0.3,7,23.95,0.58,1.2,22.8,48.1,0.04,-1,23.3,23.1,0,66.3
-0.3,7,24,0.58,1.2,22.9,47,0.03,0,23.4,23.2,-1,66.3
-0.2,6,24.57,0.68,1.2,22.7,49.7,0.04,0,23,22.9,0,66.3
0.3,7,26.47,0.58,1.6,22.7,48,0.07,0,23.1,23,0,66.3
0.5,10,27.01,0.51,1.8,22.9,47.6,0.04,1,23.2,23.1,0,66.3
0.3,7,26.5,0.59,1.6,22.7,47.6,0.05,0,23.6,23.3,-1,66.3
0.5,11,27.81,0.75,1.6,23.2,47.9,0.04,-2,23.1,23.1,0,66.3
0.3,7,26.64,0.86,1.2,23.5,47.3,0.04,1,23.8,23.7,-1,66.3
0.8,18,28.75,0.58,1.8,23.5,46.9,0.05,0,24.1,23.9,0,66.3
0.5,9,27.28,0.67,1.6,23,48.3,0.03,0,23.5,23.4,1,66.3
0.3,8,26.4,0.55,1.6,23.6,46.2,0.04,0,23.6,23.6,0,66.3
0.3,7,26.65,0.68,1.6,22.2,42,0.02,0,22.5,22.4,0,60.5
-0.5,10,23.47,0.55,1.2,22.7,40.3,0.03,0,23.2,23.1,0,60.5
-0.4,9,23.55,0.57,1.2,22.8,39.4,0.03,0,23,23,1,60.5
-0.1,5,24.55,0.48,1.6,22,40.6,0.03,0,22.9,22.6,0,60.5
0.1,5,24.88,0.32,1.9,22.2,40.6,0.04,0,23.1,22.8,0,60.5
1,27,29.36,0.47,2.4,22.8,37.5,0.03,0,23.3,23.1,0,60.5
-0.2,6,24.45,0.58,1.2,23.1,56,0.07,0,23.6,23.4,1,71.1
-0.2,6,24.39,0.58,1.2,23.1,56.2,0.05,-1,23.5,23.4,0,71.1
0.5,11,27.42,0.56,1.6,24.2,54.2,0.03,1,24.1,24.1,-1,71.1
0.2,6,25.66,0.58,1.2,24.7,52.5,0.04,1,24.6,24.6,0,71.1
0.2,6,25.78,0.51,1.4,24,53.5,0.11,0,23.6,23.8,2,71.1
-0.7,14,22.7,0.47,1.2,22.2,58,0.09,-1,22.9,22.6,0,71.1
0.1,5,25.35,0.58,1.2,23.9,56.7,0.06,1,24.4,24.2,-1,71.1
0.2,6,25.72,0.61,1.3,24,55.2,0.07,0,24,24,0,71.1
0.8,18,28.76,0.51,2,23.5,53.9,0.09,2,23.1,23.3,0,71.1
0.4,8,26.86,0.54,1.6,23.2,54.7,0.09,0,23.5,23.4,0,71.1
0.7,15,28.42,0.56,1.8,23.5,57.8,0.06,1,23.6,23.6,0,71.1
0.9,21,29.61,0.55,2,23.2,60,0.07,0,23.8,23.6,-1,71.1
0.4,9,26.79,0.54,1.4,24.3,58.4,0.05,2,24.2,24.2,0,71.1
0.1,5,25.67,0.68,1.2,23.6,55.3,0.05,-1,23.9,23.8,1,71.1
0.1,5,25.7,0.65,1.2,24,53.8,0.1,0,24.1,24.1,0,71.1
0.4,8,26.78,0.53,1.6,23.5,55.9,0.09,0,23.8,23.7,0,71.1
0.3,7,26.28,0.63,1.2,24.1,56,0.07,0,25.2,24.8,1,71.1
-0.1,5,24.91,0.67,1.2,23.4,50.4,0.05,0,23.2,23.3,1,67.1
0.2,6,25.88,0.73,1.2,23.7,49.9,0.03,0,23.9,23.8,0,67.1
-0.1,5,24.7,0.63,1.2,23,51.6,0.04,0,23.6,23.4,1,67.1
1.2,35,31.88,0.8,2,23.7,49.2,0.05,1,24.5,24.3,1,67.1
0.4,8,26.57,0.73,1.2,24.5,48.5,0.05,1,24.5,24.5,1,67.1
0.6,14,27.91,0.67,1.4,24.4,47.9,0.03,0,25,24.9,0,67.1
0.4,8,26.54,0.68,1.2,24.6,48.4,0.03,0,25.1,25,0,67.1
0.4,8,26.3,0.53,1.6,24.1,45.7,0.05,0,23.4,23.6,0,67.1
0.5,10,27.48,0.95,1.2,24.3,44.6,0.06,0,23.8,24,0,67.1
0.2,6,25.66,0.62,1.2,24.6,43.8,0.05,0,24.6,24.6,0,67.1
0.2,6,25.91,0.69,1.2,24.4,44.1,0.06,0,24.3,24.3,2,67.1
-0.2,6,24.32,0.6,1.2,22.8,46.1,0.04,0,23.7,23.4,0,61.6
0,5,25.07,0.7,1.2,22.9,46.3,0.03,0,23.6,23.4,0,61.6
-0.1,5,24.85,0.73,1.2,22,48.3,0.04,0,23.3,22.9,0,61.6
0.1,5,25.65,0.73,1.2,23.4,45.2,0.03,0,23.9,23.8,0,61.6
0.1,5,25.72,0.73,1.2,23.3,45.2,0.02,0,24.1,23.9,0,61.6
-0.6,11,23.06,0.43,1.2,23.3,46.3,0.04,0,23.6,23.5,1,61.6
-0.1,5,24.73,0.58,1.2,23.7,43,0.03,0,24.2,24.1,-1,61.6
0.1,5,25.41,0.65,1.2,23.9,42.4,0.03,0,24.3,24.2,0,61.6
-0.6,13,22.8,0.57,1.2,22.2,48.9,0.03,0,21.9,22,0,61.3
0.3,7,26.39,0.82,1.2,24,44.1,0.04,1,23.7,23.8,-1,61.3
-0.3,7,24.53,0.6,1.2,23.4,45.5,0.14,0,23.7,23.6,0,61.3
0.3,6,26.66,0.96,1.2,22.7,45.3,0.03,-1,23.2,23.1,0,61.3
-0.4,8,23.84,0.58,1.2,22.7,46,0.03,0,23.3,23.1,0,61.3
0.8,17,29.4,0.93,1.6,23,44.1,0.04,0,24,23.7,0,61.3
0,5,25.19,0.7,1.2,22.7,46.1,0.05,-1,23.9,23.5,0,61.3
0.1,5,25.29,0.61,1.2,24.2,44.1,0.05,0,24.3,24.3,1,61.3
-0.5,10,23.2,0.58,1.2,23,45.3,0.06,0,22.1,22.4,0,61.3
-0.1,5,25,0.73,1.2,23.1,45.1,0.05,1,23,23,0,61.3
0,5,25.01,0.63,1.2,23.5,44.3,0.04,0,24.1,23.9,0,61.3
-0.1,5,24.84,0.65,1.2,23.3,44.1,0.09,-1,23.6,23.5,0,61.3
-0.3,7,24.52,0.72,1.2,22.1,47.5,0.15,0,23.1,22.6,0,61.3
0.1,5,25.64,0.66,1.3,23.3,45.3,0.03,0,23.5,23.5,1,61.3
0.3,7,26.81,0.94,1.2,23.5,43.5,0.03,0,23.2,23.3,-1,61.3
0.4,8,26.98,0.93,1.2,23.3,43.8,0.04,0,23.8,23.7,0,61.3
0,5,25.32,0.64,1.2,23.4,43.9,0.06,0,24.6,24.1,0,61.3
0.2,6,25.95,0.73,1.2,24.3,39.7,0.03,1,24.1,24.2,0,61.3
0.1,5,25.43,0.69,1.2,23.5,40.9,0.04,0,24.2,24,0,61.3
0.5,11,27.17,0.49,1.8,23.1,42,0.03,1,24.6,24.1,1,61.3
-0.2,6,24.37,0.62,1.2,22.8,54.1,0,0,23.3,23.2,0,70.7
-0.1,5,24.83,0.63,1.2,23.2,52.3,0,0,23.7,23.7,0,70.7
0.1,5,25.63,0.73,1.2,23.1,52.8,0,0,23.7,23.7,0,69.66666667
0,5,25.27,0.67,1.2,23.2,52.6,0.01,0,23.8,23.7,1,61.66666667
0.4,8,27.06,0.89,1.2,23,53.4,0.01,0,24.2,24,0,61.66666667
-0.1,5,24.77,0.62,1.2,22.9,53.5,0.01,0,23.9,23.7,1,61.66666667
0.5,9,27.52,0.94,1.2,23.1,52.9,0.01,-1,24.3,24.1,0,61.66666667
0,5,25.36,0.62,1.2,23.2,52.7,0.01,0,24.7,24.4,1,61.66666667
0.3,7,26.86,0.89,1.2,23.1,52.6,0.01,-1,23.8,23.7,0,61.66666667
0,5,24.94,0.6,1.2,23.6,51.7,0.01,0,24,23.9,1,61.66666667
0.3,7,26.86,0.9,1.2,23.3,52,0,0,23.6,23.6,0,69.66666667
0,5,25.29,0.67,1.2,23.5,51.3,0.01,0,23.7,23.7,2,61.73333333
0.1,5,25.76,0.67,1.2,23.5,51.8,0.01,0,24.5,24.3,-1,61.66666667
0.4,8,27.28,1.04,1.2,22.5,55.7,0.01,0,22.8,22.7,0,61.66666667
0.6,13,28.63,0.8,1.6,23.1,54.8,0,0,23.3,23.3,0,63.73333333
0.1,5,25.27,0.56,1.6,22.2,46.1,0.01,0,22.4,22.3,0,61.66666667
0.6,14,28.46,0.82,1.6,23.4,44.3,0.01,0,23.5,23.5,0,61.66666667
0.1,5,25.45,0.73,1.2,23.5,43.2,0,0,23.6,23.6,0,69.66666667
-0.1,5,24.59,0.58,1.2,23.5,43.5,0.01,0,24.1,24,0,61.66666667
0.2,6,26.17,0.77,1.2,23.4,43.1,0.01,0,24.5,24.3,0,61.66666667
0.1,5,25.58,0.73,1.2,23.4,43.7,0.01,1,23.9,23.8,0,62.33333333
0,5,25.11,0.62,1.2,23.9,41.4,0.01,0,24.2,24.2,0,61.66666667
0.1,5,25.25,0.64,1.2,24,41,0,0,24.2,24.2,2,70.7
0.2,6,25.91,0.72,1.2,23.9,41.3,0,0,24.4,24.4,0,69.66666667
0.4,8,26.76,0.81,1.2,24.1,40.7,0.01,0,24.7,24.6,0,61.66666667
0.3,7,26.37,0.73,1.2,24.2,40.2,0.01,0,24.9,24.8,0,61.66666667
0.9,20,29.79,0.86,1.6,24,52.4,0.01,0,24.2,24.2,0,61.66666667
0.7,15,28.41,0.66,1.6,24.2,53.6,0.01,-1,24.4,24.3,0,61.66666667
0.5,11,27.52,0.82,1.2,24.6,53,0,1,24.6,24.6,-1,68.63333333
0.7,16,27.92,0.51,1.6,25.2,51.4,0.01,1,25.3,25.3,2,70.7
0.9,23,29.68,0.75,1.6,24.9,52.1,0.01,1,25,25,-1,56.4
0.6,13,27.58,0.73,1.2,25.3,50.7,0.01,0,25.6,25.6,0,61.66666667
0.6,12,27.33,0.73,1.2,25.6,50.5,0.02,2,24.8,25,-1,62.33333333
-0.1,5,25.03,0.69,1.2,22.7,59.4,0.01,0,23.3,23.2,0,61.66666667
0.5,10,27.17,0.79,1.2,24.5,53.3,0.02,0,24.5,24.5,0,61.66666667
0.3,7,26.49,0.73,1.2,24.2,56.9,0.02,0,24.1,24.1,0,61.66666667
0.5,10,27.32,0.82,1.2,24.4,56.3,0.01,0,24.2,24.3,0,61.66666667
0.3,7,26.17,0.63,1.2,24.5,56.5,0.02,0,24.6,24.6,0,61.66666667
0.2,6,26.02,0.68,1.2,23.9,57.7,0.01,0,24.2,24.1,0,61.66666667
0.3,7,26.79,0.87,1.2,23,58.3,0.02,0,23.6,23.5,0,61.66666667
0.3,7,26.6,0.77,1.2,24,57.8,0.02,0,23.8,23.9,0,61.66666667
0.3,8,26.7,0.77,1.2,24.1,56.5,0,0,24,24,0,69.66666667
0.1,5,25.6,0.53,1.7,22.5,57.9,0.03,0,21.3,21.6,-1,61.66666667
0,5,25.31,0.56,1.6,21.7,61.9,0.01,0,21.9,21.8,0,61.66666667
1.7,60,33.96,0.77,2.8,22.1,59.9,0.01,2,22.5,22.5,-1,63.36666667
0,5,25.19,0.81,1.2,22.1,61,0.01,-1,22.2,22.2,1,66.76666667
-0.1,5,24.7,0.6,1.3,22.8,58.7,0.01,0,22.4,22.5,0,61.66666667
0,5,25,0.63,1.2,23.3,57.4,0,0,23.7,23.6,1,70.7
0.3,7,26.6,0.61,1.6,22.6,61.9,0.04,0,22.2,22.3,-2,61.66666667
0.6,13,28.25,0.6,1.7,23,59.8,0.02,1,23.2,23.1,0,56.4
0,5,25,0.63,1.2,23.3,59.6,0.02,0,23.5,23.5,-2,61.66666667
0.6,13,28.6,0.81,1.5,23.1,60,0.02,0,23.4,23.3,0,61.66666667
0.2,6,26.04,0.63,1.2,24.2,57,0.02,0,24.7,24.6,0,61.66666667
1,26,30.71,0.99,1.4,24.3,56.7,0.02,1,25,24.9,-2,62.33333333
0.7,15,28.11,0.55,1.6,24.5,55.5,0.02,0,25.2,25.1,-1,61.66666667
0.4,9,27.14,0.76,1.2,24,56.8,0.02,0,25,24.8,1,61.66666667
1.6,55,33.61,0.61,2.8,22.6,62.5,0.03,0,22.3,22.4,-2,56.4
0.2,6,25.95,0.64,1.2,24.3,57,0.02,0,24.3,24.3,2,61.66666667
