,Country,Relative humidity (%),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Age,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement preference,Thermal comfort,Air temperature (¡C),Air temperature (¡F),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
0,Denmark,43.7,26855,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,,-1.0,1.0,no change,more,4.0,19.7,67.4,0.8,33.5,Database 2
1,Denmark,39.1,26856,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,,-2.0,0.0,warmer,less,3.0,24.0,75.1,0.8,33.5,Database 2
2,Denmark,39.3,26857,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,,-1.0,0.0,warmer,no change,3.0,23.4,74.1,0.8,33.5,Database 2
3,Denmark,41.0,26858,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,,0.0,1.0,cooler,more,3.0,23.0,73.5,0.8,33.5,Database 2
4,Denmark,42.5,26859,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,,2.0,0.0,cooler,more,4.0,25.2,77.3,0.8,33.5,Database 2
5,Denmark,46.2,26860,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,,1.0,1.0,no change,more,4.0,24.1,75.3,0.8,33.5,Database 2
6,Denmark,45.3,26861,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,,-2.0,1.0,warmer,more,3.0,23.0,73.4,0.8,33.5,Database 2
7,Denmark,45.3,26862,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,,1.0,1.0,cooler,more,4.0,23.0,73.4,0.8,33.5,Database 2
8,Denmark,45.3,26863,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,,0.0,1.0,no change,no change,4.0,23.2,73.7,0.8,33.5,Database 2
9,Denmark,40.4,26864,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,,1.0,0.0,cooler,more,3.0,24.3,75.7,0.8,33.5,Database 2
10,Denmark,38.5,26865,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,,-1.0,1.0,no change,more,3.0,24.1,75.5,0.8,33.5,Database 2
11,Denmark,35.3,26866,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,,1.0,1.0,no change,no change,4.0,24.6,76.2,0.8,33.5,Database 2
12,Denmark,35.4,26867,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,,-1.0,1.0,no change,more,4.0,24.8,76.6,0.8,33.5,Database 2
13,Denmark,38.7,26868,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,,1.0,0.0,cooler,more,3.0,22.6,72.6,0.8,33.5,Database 2
14,Denmark,39.5,26869,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,,1.0,1.0,warmer,more,3.0,22.9,73.3,0.8,33.5,Database 2
15,Denmark,39.8,26870,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,,-1.0,0.0,warmer,more,3.0,23.1,73.6,0.8,33.5,Database 2
16,Denmark,40.2,26871,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,,-1.0,1.0,no change,no change,4.0,23.3,73.9,0.8,33.5,Database 2
17,Denmark,40.5,26872,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,,0.0,1.0,warmer,no change,4.0,23.5,74.3,0.8,33.5,Database 2
18,Denmark,41.3,26873,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,,1.0,0.0,cooler,more,3.0,24.3,75.8,0.8,33.5,Database 2
19,Denmark,37.4,26874,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,18.0,0.0,1.0,no change,more,4.0,24.4,75.9,0.8,33.5,Database 2
20,Denmark,37.4,26875,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,16.0,-0.0,1.0,warmer,more,4.0,24.4,75.9,0.8,33.5,Database 2
21,Denmark,37.4,26876,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,0.0,1.0,cooler,more,4.0,24.4,75.9,0.8,33.5,Database 2
22,Denmark,37.4,26877,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,18.0,-1.0,0.0,warmer,more,3.0,24.4,75.9,0.8,33.5,Database 2
23,Denmark,37.4,26878,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,16.0,0.0,1.0,cooler,more,3.0,24.4,75.9,0.8,33.5,Database 2
24,Denmark,37.4,26879,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,16.0,1.0,1.0,cooler,more,3.0,24.4,75.9,0.8,33.5,Database 2
25,Denmark,37.4,26880,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,16.0,1.0,1.0,cooler,more,3.0,24.4,75.9,0.8,33.5,Database 2
26,Denmark,33.9,26881,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,0.0,1.0,no change,more,4.0,23.8,74.9,0.8,33.5,Database 2
27,Denmark,37.4,26882,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,0.0,1.0,cooler,more,3.0,24.4,75.9,0.8,33.5,Database 2
28,Denmark,33.9,26883,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,2.0,0.0,cooler,more,1.0,23.8,74.9,0.8,33.5,Database 2
29,Denmark,36.1,26884,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,1.0,0.0,cooler,more,3.0,22.3,72.2,0.8,33.5,Database 2
30,Denmark,36.1,26885,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,16.0,0.0,1.0,cooler,more,4.0,22.3,72.2,0.8,33.5,Database 2
31,Denmark,36.1,26886,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,18.0,-0.0,1.0,no change,more,4.0,22.3,72.2,0.8,33.5,Database 2
32,Denmark,36.1,26887,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,19.0,1.0,0.0,cooler,more,4.0,25.5,77.9,0.8,33.5,Database 2
33,Denmark,36.1,26888,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,1.0,0.0,cooler,more,3.0,25.5,77.9,0.8,33.5,Database 2
34,Denmark,36.1,26889,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,0.0,1.0,no change,more,3.0,25.5,77.9,0.8,33.5,Database 2
35,Denmark,36.1,26890,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,18.0,2.0,1.0,cooler,more,3.0,25.5,77.9,0.8,33.5,Database 2
36,Denmark,36.1,26891,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,2.0,0.0,cooler,more,3.0,25.5,77.9,0.8,33.5,Database 2
37,Denmark,36.1,26892,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,0.0,1.0,cooler,more,4.0,25.5,77.9,0.8,33.5,Database 2
38,Denmark,36.1,26893,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,1.0,1.0,no change,more,3.0,25.5,77.9,0.8,33.5,Database 2
39,Denmark,36.1,26894,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,18.0,0.0,1.0,cooler,no change,4.0,25.5,77.9,0.8,33.5,Database 2
40,Denmark,36.1,26895,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,0.0,1.0,no change,more,4.0,25.5,77.9,0.8,33.5,Database 2
41,Denmark,37.0,26896,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,0.0,0.0,cooler,more,3.0,25.7,78.3,0.8,33.5,Database 2
42,Denmark,36.1,26897,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,18.0,2.0,0.0,cooler,more,3.0,25.5,77.9,0.8,33.5,Database 2
43,Denmark,34.4,26898,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,16.0,-1.0,1.0,no change,more,4.0,23.8,74.8,0.8,33.5,Database 2
44,Denmark,36.1,26899,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,19.0,1.0,1.0,cooler,,3.0,25.5,77.9,0.8,33.5,Database 2
45,Denmark,36.1,26900,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,18.0,2.0,0.0,cooler,more,4.0,25.5,77.9,0.8,33.5,Database 2
46,Denmark,36.1,26901,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,18.0,1.0,1.0,no change,no change,4.0,25.5,77.9,0.8,33.5,Database 2
47,Denmark,34.5,26902,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,18.0,0.0,1.0,no change,no change,4.0,25.1,77.1,0.8,33.5,Database 2
48,Denmark,34.5,26903,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,0.0,1.0,no change,more,4.0,25.1,77.1,0.8,33.5,Database 2
49,Denmark,36.1,26904,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,1.0,0.0,cooler,more,4.0,25.5,77.9,0.8,33.5,Database 2
50,Denmark,36.1,26905,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,1.0,1.0,cooler,more,3.0,25.5,77.9,0.8,33.5,Database 2
51,Denmark,34.5,26906,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,16.0,-0.0,1.0,no change,,4.0,25.1,77.1,0.8,33.5,Database 2
52,Denmark,36.1,26907,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,0.0,1.0,cooler,more,3.0,25.5,77.9,0.8,33.5,Database 2
53,Denmark,34.5,26908,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,16.0,-0.0,1.0,no change,more,3.0,25.1,77.1,0.8,33.5,Database 2
54,Denmark,34.5,26909,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,16.0,-1.0,1.0,cooler,no change,4.0,25.1,77.1,0.8,33.5,Database 2
55,Denmark,34.5,26910,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,0.0,1.0,no change,,4.0,25.1,77.1,0.8,33.5,Database 2
