,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Thermal comfort,activity_10,activity_20,activity_30,activity_60,Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡F)
0,1.1,33.0,28.48,0.39,1.2,28.4,53.0,0.0,1.0,5.0,1.2,1.2,1.2,1.2,83.1,28.4,83.1,26.7,80.1,29.4,85.0,29.1,84.4,29.0,84.1,28.4,83.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,77.0
1,1.1,29.0,27.94,0.32,1.2,28.4,53.0,0.0,1.0,5.0,1.2,1.2,1.2,1.2,83.1,28.4,83.1,26.7,80.1,29.4,85.0,29.1,84.4,29.0,84.1,28.4,83.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,77.0
2,0.3,7.0,25.59,0.32,1.2,27.3,61.6,0.06,1.0,5.0,1.2,1.2,1.2,1.2,81.1,27.3,81.1,26.5,79.8,26.8,80.3,26.9,80.4,26.5,79.7,25.0,77.0,11.81,0.06,11.81,0.06,11.82,0.0,0.0,1.0,0.0,0.0,1.0,0.0,77.0
3,-0.1,5.0,24.27,0.38,1.1,25.7,58.7,0.04,0.0,5.0,1.0,1.0,1.0,1.0,78.2,25.7,78.2,24.9,76.7,25.9,78.6,25.6,78.1,25.7,78.2,24.7,76.5,7.87,0.04,7.87,0.02,3.94,0.0,0.0,0.0,0.0,1.0,0.0,0.0,77.0
4,-0.3,7.0,23.86,0.38,1.0,25.9,58.0,0.02,0.0,5.0,1.0,1.0,1.0,1.0,78.5,25.9,78.5,25.1,77.1,26.0,78.9,25.9,78.6,25.8,78.4,24.8,76.6,3.94,0.02,3.94,0.02,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
5,0.0,5.0,24.67,0.32,1.2,25.9,58.0,0.02,0.0,6.0,1.2,1.2,1.2,1.2,78.5,25.9,78.5,25.1,77.1,26.0,78.9,25.9,78.6,25.8,78.4,24.8,76.6,3.94,0.02,3.94,0.02,3.94,0.0,0.0,0.0,0.0,1.0,0.0,0.0,77.0
6,0.0,5.0,24.63,0.32,1.2,25.7,59.9,0.02,0.0,5.0,1.2,1.2,1.2,1.2,78.2,25.7,78.2,24.9,76.9,25.8,78.5,25.9,78.5,25.8,78.4,24.7,76.4,3.94,0.02,3.94,0.04,7.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
7,0.1,5.0,25.04,0.4,1.2,25.8,66.5,0.04,0.0,4.0,1.2,1.2,1.2,1.2,78.4,25.8,78.4,24.9,76.8,25.4,77.7,25.4,77.6,25.3,77.6,23.9,75.0,7.87,0.04,7.87,0.02,3.94,0.0,0.0,1.0,0.0,0.0,1.0,0.0,77.0
8,-0.2,6.0,23.95,0.45,1.1,25.3,51.2,0.0,1.0,5.0,1.0,1.0,1.0,1.2,77.5,25.3,77.5,24.2,75.6,25.0,76.9,24.8,76.6,24.7,76.5,23.5,74.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,77.0
9,0.0,5.0,24.62,0.4,1.2,25.7,58.8,0.04,1.0,5.0,1.2,1.2,1.2,1.2,78.2,25.7,78.2,24.7,76.5,25.3,77.5,25.3,77.5,25.2,77.3,23.8,74.9,7.87,0.04,7.87,0.02,3.94,0.0,0.0,1.0,0.0,0.0,1.0,0.0,77.0
10,-0.1,5.0,24.06,0.34,1.2,25.7,58.8,0.04,0.0,6.0,1.2,1.2,1.2,1.2,78.2,25.7,78.2,24.7,76.5,25.3,77.5,25.3,77.5,25.2,77.3,23.8,74.9,7.87,0.04,7.87,0.02,3.94,0.0,0.0,1.0,0.0,0.0,1.0,0.0,77.0
11,0.4,8.0,25.98,0.45,1.2,26.6,59.2,0.04,0.0,5.0,1.2,1.2,1.2,1.2,79.8,26.6,79.8,25.5,77.9,25.8,78.4,26.2,79.1,26.0,78.8,24.3,75.7,7.87,0.04,7.87,0.02,3.94,0.0,0.0,1.0,0.0,0.0,1.0,0.0,77.0
12,-0.2,6.0,23.8,0.37,1.2,25.1,50.4,0.0,0.0,5.0,1.2,1.2,1.2,1.2,77.1,25.1,77.1,24.2,75.6,24.9,76.7,24.6,76.3,24.6,76.3,23.4,74.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,77.0
13,0.6,13.0,27.37,0.44,1.7,25.1,51.8,0.08,0.0,5.0,1.0,1.2,2.0,2.0,77.2,25.1,77.2,24.6,76.3,24.9,76.8,24.8,76.6,24.8,76.6,23.5,74.4,15.75,0.08,15.75,0.04,7.88,0.0,0.0,1.0,1.0,0.0,0.0,0.0,77.0
14,0.1,5.0,24.69,0.38,1.2,26.4,47.3,0.06,0.0,6.0,1.2,1.2,1.2,1.2,79.5,26.4,79.5,25.6,78.2,25.6,78.1,26.1,78.9,25.9,78.5,24.2,75.6,11.81,0.06,11.81,0.02,3.94,0.0,0.0,1.0,0.0,0.0,1.0,0.0,77.0
15,0.2,6.0,25.23,0.43,1.2,26.4,47.4,0.04,1.0,4.0,1.2,2.0,1.0,1.0,79.5,26.4,79.5,25.7,78.3,25.6,78.0,26.2,79.1,25.9,78.6,24.2,75.5,7.87,0.04,7.87,0.02,3.94,0.0,0.0,1.0,0.0,0.0,1.0,0.0,77.0
16,0.5,11.0,26.02,0.38,1.2,27.9,42.7,0.02,1.0,5.0,1.2,1.2,1.2,1.2,82.3,27.9,82.3,27.1,80.7,26.6,79.8,27.4,81.4,27.0,80.6,25.1,77.2,3.94,0.02,3.94,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,77.0
17,-0.3,7.0,23.99,0.68,1.2,22.8,49.7,0.04,-2.0,6.0,1.2,1.2,1.2,1.2,73.0,22.8,73.0,22.1,71.8,22.8,73.0,22.6,72.6,22.7,72.8,21.5,70.6,7.87,0.04,7.87,0.04,7.88,0.0,0.0,1.0,0.0,0.0,1.0,0.0,77.0
18,-0.2,6.0,24.47,0.74,1.2,22.8,49.7,0.04,-2.0,5.0,1.2,1.2,1.2,1.2,73.0,22.8,73.0,22.1,71.8,22.8,73.0,22.6,72.6,22.7,72.8,21.5,70.6,7.87,0.04,7.87,0.04,7.88,0.0,0.0,1.0,0.0,0.0,1.0,0.0,77.0
19,-0.2,6.0,24.47,0.88,1.1,22.9,49.6,0.04,-1.0,5.0,1.2,1.2,1.0,1.0,73.2,22.9,73.2,22.3,72.1,22.9,73.3,22.7,72.8,22.8,73.0,21.6,70.9,7.87,0.04,7.87,0.02,3.94,0.0,0.0,1.0,0.0,0.0,1.0,0.0,77.0
20,0.9,23.0,30.61,0.8,2.0,22.9,49.6,0.04,0.0,5.0,2.0,2.0,2.0,2.0,73.2,22.9,73.2,22.3,72.1,22.9,73.3,22.7,72.8,22.8,73.0,21.6,70.9,7.87,0.04,7.87,0.02,3.94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,77.0
21,0.0,5.0,25.26,0.88,1.2,23.3,27.3,0.02,0.0,5.0,1.2,1.2,1.2,1.2,74.0,23.3,74.0,22.0,71.7,23.0,73.5,22.8,73.0,22.7,72.9,21.8,71.2,3.94,0.02,3.94,0.07,13.79,0.1,19.7,0.0,1.0,0.0,1.0,1.0,41.0
22,-0.4,8.0,23.55,0.64,1.2,23.3,27.3,0.02,0.0,5.0,1.2,1.2,1.2,1.2,74.0,23.3,74.0,22.0,71.7,23.0,73.5,22.8,73.0,22.7,72.9,21.8,71.2,3.94,0.02,3.94,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,0.0,41.0
23,0.1,5.0,25.59,0.86,1.3,23.3,27.3,0.02,0.0,6.0,1.2,1.6,1.2,1.2,74.0,23.3,74.0,22.0,71.7,23.0,73.5,22.8,73.0,22.7,72.9,21.8,71.2,3.94,0.02,3.94,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
24,-0.4000000000000001,10.666666666666666,23.623333333333335,0.6,1.3333333333333333,23.9,28.1,0.26,1.0,6.0,1.0,1.1333333333333333,1.4000000000000001,1.4000000000000001,74.9,23.9,74.9,22.5,72.5,23.4,74.1,23.3,74.0,23.1,73.7,22.1,71.7,51.18,0.26,51.18,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,0.0,41.0
25,0.9,21.0,26.95,0.76,2.4,23.4,20.1,0.62,2.0,2.0,2.0,2.0,2.0,2.8,74.1,23.4,74.1,21.8,71.2,23.1,73.6,23.4,74.0,23.6,74.5,21.9,71.5,122.05,0.62,122.05,0.07,13.79,0.1,19.7,1.0,0.0,0.0,1.0,1.0,41.0
26,0.5,10.0,26.43,0.51,1.7,24.9,21.6,0.04,0.0,5.0,1.0,1.0,1.9,2.0,76.7,24.9,76.7,23.5,74.3,23.7,74.7,25.3,77.5,25.2,77.4,22.6,72.6,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
27,0.4,8.0,26.04,0.64,1.2,26.3,24.0,0.04,1.0,5.0,1.2,1.2,1.2,1.2,79.3,26.3,79.3,23.6,74.5,24.0,75.1,29.2,84.6,24.4,76.0,22.7,72.9,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,0.0,41.0
28,0.5,9.0,26.92,0.98,1.0,26.3,24.0,0.04,1.0,6.0,1.0,1.0,1.0,1.0,79.3,26.3,79.3,23.6,74.5,24.0,75.1,29.2,84.6,24.4,76.0,22.7,72.9,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
29,0.1,5.0,25.52,0.73,1.0,26.3,24.0,0.04,0.0,5.0,1.0,1.0,1.0,1.0,79.3,26.3,79.3,23.6,74.5,24.0,75.1,29.2,84.6,24.4,76.0,22.7,72.9,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
30,0.6,13.0,27.45,0.86,1.2,26.3,24.0,0.04,0.0,6.0,1.2,1.2,1.2,1.2,79.3,26.3,79.3,23.6,74.5,24.0,75.1,29.2,84.6,24.4,76.0,22.7,72.9,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
31,-0.2,6.0,23.76,0.62,1.3,25.8,24.5,0.3,0.0,4.0,1.6,1.2,1.2,1.2,78.4,25.8,78.4,23.4,74.1,23.9,75.1,27.6,81.7,24.1,75.3,22.6,72.7,59.06,0.3,59.06,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,0.0,41.0
32,-1.1,31.0,20.54,0.79,1.2,23.5,24.3,0.88,0.0,5.0,1.2,1.2,1.2,1.2,74.3,23.5,74.3,22.1,71.8,22.9,73.2,22.9,73.2,22.7,72.8,21.6,70.9,173.23,0.88,173.23,0.07,13.79,0.1,19.7,0.0,1.0,0.0,1.0,1.0,41.0
33,-0.5,10.0,22.84,1.06,1.2,23.5,24.3,0.88,0.0,6.0,1.2,1.2,1.2,1.2,74.3,23.5,74.3,22.1,71.8,22.9,73.2,22.9,73.2,22.7,72.8,21.6,70.9,173.23,0.88,173.23,0.07,13.79,0.1,19.7,0.0,1.0,0.0,1.0,1.0,41.0
34,0.2,6.0,25.98,0.97,1.2,24.1,18.6,0.04,0.0,6.0,1.2,1.2,1.2,1.2,75.4,24.1,75.4,22.4,72.4,23.3,74.0,23.5,74.3,23.2,73.8,22.0,71.6,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0.0,1.0,0.0,1.0,1.0,41.0
35,-0.3,7.0,24.34,0.91,1.0,24.1,18.6,0.04,0.0,6.0,1.0,1.0,1.0,1.0,75.4,24.1,75.4,22.4,72.4,23.3,74.0,23.5,74.3,23.2,73.8,22.0,71.6,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
36,0.1,5.0,25.72,0.93,1.2,24.1,18.6,0.04,0.0,5.0,1.2,1.2,1.2,1.2,75.4,24.1,75.4,22.4,72.4,23.3,74.0,23.5,74.3,23.2,73.8,22.0,71.6,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0.0,1.0,0.0,1.0,1.0,41.0
37,0.0,5.0,24.91,0.79,1.2,24.2,20.0,0.04,0.0,5.0,1.2,1.2,1.2,1.2,75.6,24.2,75.6,22.6,72.6,23.4,74.1,23.6,74.4,23.3,74.0,22.1,71.8,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0.0,0.0,0.0,0.0,0.0,41.0
38,-0.5,10.0,23.34,0.83,1.2,21.6,25.4,0.02,0.0,5.0,1.2,1.2,1.2,1.2,71.0,21.6,71.0,20.3,68.6,21.3,70.3,20.9,69.7,20.9,69.6,19.9,67.9,3.94,0.02,3.94,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,0.0,41.0
39,-0.4,8.0,23.98,0.92,1.2,21.6,25.4,0.02,-1.0,6.0,1.2,1.2,1.2,1.2,71.0,21.6,71.0,20.3,68.6,21.3,70.3,20.9,69.7,20.9,69.6,19.9,67.9,3.94,0.02,3.94,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
40,-1.0,26.0,21.01,0.84,1.2,23.2,27.1,0.74,-1.0,5.0,1.2,1.2,1.2,1.2,73.7,23.2,73.7,21.8,71.2,22.5,72.4,22.5,72.6,22.4,72.3,21.2,70.1,145.67,0.74,145.67,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
41,-2.0,75.0,18.99,0.77,1.0,23.2,27.1,0.74,0.0,5.0,1.0,1.0,1.0,1.0,73.7,23.2,73.7,21.8,71.2,22.5,72.4,22.5,72.6,22.4,72.3,21.2,70.1,145.67,0.74,145.67,0.07,13.79,0.1,19.7,1.0,0.0,0.0,0.0,1.0,41.0
42,-0.5,10.0,23.23,0.62,1.2,23.4,24.6,0.02,0.0,4.0,1.2,1.2,1.2,1.2,74.0,23.4,74.0,22.0,71.6,22.5,72.6,22.9,73.2,22.5,72.5,21.2,70.2,3.94,0.02,3.94,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
43,-0.2,6.0,22.91,0.92,1.6,23.2,24.7,1.04,-1.0,6.0,1.2,1.2,1.2,1.9,73.8,23.2,73.8,21.9,71.4,22.4,72.3,22.7,72.9,22.3,72.2,21.0,69.9,204.72,1.04,204.72,0.09,17.73,0.1,19.7,1.0,0.0,0.0,1.0,1.0,41.0
44,-1.4,47.0,19.39,0.75,1.2,23.2,24.7,1.04,0.0,5.0,1.2,1.2,1.2,1.2,73.8,23.2,73.8,21.9,71.4,22.4,72.3,22.7,72.9,22.3,72.2,21.0,69.9,204.72,1.04,204.72,0.09,17.73,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
45,-1.0,27.0,20.9,0.83,1.2,23.0,27.6,0.62,0.0,5.0,1.2,1.2,1.2,1.2,73.4,23.0,73.4,22.0,71.7,22.2,72.0,22.3,72.1,22.0,71.7,20.9,69.7,122.05,0.62,122.05,0.07,13.79,0.1,19.7,0.0,1.0,0.0,0.0,1.0,41.0
46,-0.8,19.0,21.7,0.92,1.2,23.0,27.6,0.62,-1.0,6.0,1.2,1.2,1.2,1.2,73.4,23.0,73.4,22.0,71.7,22.2,72.0,22.3,72.1,22.0,71.7,20.9,69.7,122.05,0.62,122.05,0.07,13.79,0.1,19.7,0.0,1.0,0.0,0.0,1.0,41.0
47,-2.2,85.0,16.8,0.65,1.2,23.3,28.1,2.1,0.0,5.0,1.2,1.2,1.2,1.2,73.9,23.3,73.9,22.3,72.1,22.4,72.4,22.6,72.6,22.3,72.2,21.1,70.1,413.39,2.1,413.39,0.09,17.73,0.1,19.7,0.0,0.0,0.0,0.0,1.0,41.0
48,-3.0,99.0,15.15,0.64,1.0,23.3,28.1,2.1,-1.0,5.0,1.0,1.0,1.0,1.0,73.9,23.3,73.9,22.3,72.1,22.4,72.4,22.6,72.6,22.3,72.2,21.1,70.1,413.39,2.1,413.39,0.09,17.73,0.1,19.7,0.0,0.0,0.0,0.0,1.0,41.0
49,-1.2666666666666666,39.666666666666664,20.576666666666668,0.92,1.3666666666666665,24.2,27.6,0.7,-1.0,6.0,1.2,1.2,1.4666666666666668,1.4666666666666668,75.5,24.2,75.5,23.3,74.0,23.5,74.2,23.8,74.8,23.5,74.3,22.3,72.1,137.8,0.7,137.8,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
50,-0.8,18.0,21.73,0.77,1.2,24.2,27.6,0.7,0.0,5.0,1.2,1.2,1.2,1.2,75.5,24.2,75.5,23.3,74.0,23.5,74.2,23.8,74.8,23.5,74.3,22.3,72.1,137.8,0.7,137.8,0.07,13.79,0.1,19.7,1.0,1.0,0.0,0.0,1.0,41.0
51,-1.1,30.0,20.24,0.65,1.2,25.9,28.2,1.64,1.0,5.0,1.2,1.2,1.2,1.2,78.5,25.9,78.5,25.2,77.4,24.7,76.5,25.3,77.6,25.1,77.2,23.4,74.1,322.83,1.64,322.83,0.07,13.79,0.1,19.7,1.0,0.0,0.0,1.0,1.0,41.0
52,0.3,7.0,26.95,0.89,1.7,21.8,21.7,0.04,0.0,5.0,1.2,1.2,1.9,1.9,71.2,21.8,71.2,21.0,69.8,21.6,71.0,21.1,69.9,21.1,70.0,20.3,68.5,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
53,-0.9,23.0,21.57,1.03,1.2,21.9,22.0,0.68,0.0,5.0,1.0,1.2,1.2,1.2,71.4,21.9,71.4,21.1,70.0,21.7,71.1,21.2,70.2,21.3,70.3,20.4,68.7,133.86,0.68,133.86,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
54,-1.5,50.0,20.85,0.57,1.0,22.7,22.4,0.04,-1.0,5.0,1.0,1.0,1.0,1.0,72.8,22.7,72.8,21.8,71.3,22.2,72.0,22.1,71.7,22.0,71.6,21.0,69.8,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
55,-1.3,38.0,20.26,0.77,1.2,22.5,22.8,0.64,1.0,5.0,1.2,1.2,1.2,1.2,72.6,22.5,72.6,21.5,70.7,21.6,70.8,22.0,71.7,22.0,71.6,20.8,69.4,125.98,0.64,125.98,0.07,13.79,0.1,19.7,0.0,0.0,0.0,0.0,0.0,41.0
56,0.4,9.0,26.13,0.51,1.2,26.1,22.0,0.02,0.0,5.0,1.2,1.2,1.2,1.2,78.9,26.1,78.9,28.6,83.5,24.6,76.3,28.0,82.5,29.2,84.6,23.5,74.2,3.94,0.02,3.94,0.07,13.79,0.1,19.7,0.0,0.0,0.0,0.0,1.0,41.0
57,-1.2,38.0,19.92,0.82,1.2,23.1,24.7,1.04,0.0,5.0,1.2,1.2,1.2,1.2,73.7,23.1,73.7,22.2,72.0,22.4,72.3,22.4,72.4,22.2,72.0,21.1,69.9,204.72,1.04,204.72,0.07,13.79,0.1,19.7,0.0,1.0,0.0,0.0,1.0,41.0
58,-1.6,59.0,18.71,0.7,1.2,23.1,24.7,1.04,0.0,5.0,1.2,1.2,1.2,1.2,73.7,23.1,73.7,22.2,72.0,22.4,72.3,22.4,72.4,22.2,72.0,21.1,69.9,204.72,1.04,204.72,0.07,13.79,0.1,19.7,0.0,0.0,0.0,0.0,1.0,41.0
59,-0.8,20.0,20.9,0.83,1.3,23.1,24.7,1.04,-1.0,6.0,2.0,1.2,1.2,1.2,73.7,23.1,73.7,22.2,72.0,22.4,72.3,22.4,72.4,22.2,72.0,21.1,69.9,204.72,1.04,204.72,0.07,13.79,0.1,19.7,0.0,1.0,0.0,0.0,1.0,41.0
60,-1.2,34.0,20.98,0.25,1.2,24.2,28.9,0.04,0.0,6.0,1.2,1.2,1.2,1.2,75.6,24.2,75.6,23.3,73.9,23.2,73.7,23.7,74.7,23.5,74.4,22.0,71.6,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0.0,1.0,0.0,1.0,1.0,41.0
61,-1.0,24.0,20.63,0.86,1.2,24.3,28.9,1.6,0.0,6.0,1.2,1.2,1.2,1.2,75.7,24.3,75.7,23.2,73.8,23.2,73.7,23.7,74.6,23.3,73.9,21.9,71.5,314.96,1.6,314.96,0.07,13.79,0.1,19.7,0.0,1.0,0.0,1.0,1.0,41.0
62,-1.7,63.0,18.36,0.64,1.2,24.3,28.9,1.6,0.0,5.0,1.2,1.2,1.2,1.2,75.7,24.3,75.7,23.2,73.8,23.2,73.7,23.7,74.6,23.3,73.9,21.9,71.5,314.96,1.6,314.96,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
63,-2.8,98.0,16.44,0.33,1.2,23.1,29.9,0.52,0.0,6.0,1.2,1.2,1.2,1.2,73.7,23.1,73.7,22.3,72.1,22.5,72.5,22.4,72.4,22.3,72.1,21.2,70.1,102.36,0.52,102.36,0.09,17.73,0.1,19.7,0.0,0.0,0.0,0.0,1.0,41.0
64,-1.1,32.0,20.65,0.74,1.2,23.2,29.6,0.56,0.0,5.0,1.2,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,1.0,0.0,1.0,1.0,41.0
65,-1.0,27.0,21.02,0.78,1.2,23.2,29.6,0.56,0.0,5.0,1.2,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,1.0,0.0,1.0,0.0,41.0
66,-0.8,19.0,21.73,0.86,1.2,23.2,29.6,0.56,0.0,6.0,1.2,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,1.0,0.0,1.0,1.0,41.0
67,-1.0,28.0,20.93,0.77,1.2,23.2,29.6,0.56,1.0,5.0,1.2,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
68,-0.7,14.0,22.33,0.93,1.2,23.2,29.6,0.56,1.0,5.0,1.2,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
69,-1.3,39.0,20.18,0.69,1.2,23.2,29.6,0.56,1.0,5.0,1.2,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
70,-0.4,8.0,22.7,0.82,1.4,23.2,29.6,0.56,1.0,5.0,1.2,1.9,1.9,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,1.0,1.0,0.0,1.0,1.0,41.0
71,-0.7666666666666667,19.666666666666668,21.853333333333335,0.85,1.2333333333333334,23.2,29.6,0.56,0.0,6.0,1.6,1.2,1.2,2.0,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,1.0,0.0,1.0,1.0,41.0
72,-0.4,8.0,23.18,0.99,1.3,23.2,29.6,0.56,0.0,5.0,1.6,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
73,0.4,9.0,25.96,0.93,1.9,23.2,29.6,0.56,1.0,5.0,1.6,2.0,1.6,2.0,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
74,-0.7,16.0,22.08,0.9,1.2,23.2,29.6,0.56,0.0,5.0,1.2,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
75,-1.2,36.0,20.14,0.64,1.3,23.2,29.6,0.56,0.0,4.0,1.6,2.0,1.0,1.0,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
76,-1.3,39.0,20.18,0.69,1.2,23.2,29.6,0.56,1.0,5.0,1.2,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
77,-0.8666666666666667,22.333333333333332,21.486666666666665,0.96,1.2,23.2,29.6,0.56,0.0,5.0,1.2,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,1.0,0.0,1.0,1.0,41.0
78,-1.1,32.0,20.65,0.74,1.2,23.2,29.6,0.56,2.0,5.0,1.2,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
