,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Thermal comfort,activity_10,activity_20,activity_30,activity_60,Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡F)
121,-1.2,55.333333333333336,19.713333333333335,0.55,1.6,25.433333333333334,22.0,2.98,2.0,5.0,1.2,1.2,1.2,1.9,77.83333333333333,25.433333333333334,77.83333333333333,23.100000000000005,73.6,23.133333333333336,73.66666666666667,23.400000000000002,74.10000000000001,23.400000000000002,74.10000000000001,24.433333333333337,76.0,586.6166666666667,2.98,586.6166666666667,0.5333333333333333,105.06666666666666,0.03333333333333333,6.566666666666666,0.0,0.0,0.0,1.0,1.0,50.0
122,0.3333333333333333,15.333333333333334,23.956666666666667,0.8,2.0,24.666666666666668,25.333333333333332,1.5466666666666669,2.0,3.0,2.0,2.0,2.0,2.0,76.39999999999999,24.666666666666668,76.39999999999999,22.566666666666666,72.56666666666666,23.766666666666666,74.76666666666667,23.233333333333334,73.83333333333333,23.2,73.76666666666667,23.366666666666664,74.10000000000001,304.4633333333333,1.5466666666666669,304.4633333333333,0.02,3.94,0.0,0.0,1.0,0.0,0.0,1.0,1.0,50.0
123,0.3333333333333333,15.333333333333334,23.956666666666667,0.83,2.0,24.666666666666668,25.333333333333332,1.5466666666666669,2.0,3.0,2.0,2.0,2.0,2.0,76.39999999999999,24.666666666666668,76.39999999999999,22.566666666666666,72.56666666666666,23.766666666666666,74.76666666666667,23.233333333333334,73.83333333333333,23.2,73.76666666666667,23.366666666666664,74.10000000000001,304.4633333333333,1.5466666666666669,304.4633333333333,0.02,3.94,0.0,0.0,1.0,0.0,0.0,1.0,1.0,50.0
124,-0.7999999999999999,28.333333333333332,20.683333333333334,0.69,1.9,25.3,22.2,2.793333333333333,1.0,3.0,1.6,2.0,2.0,2.0,77.56666666666666,25.3,77.56666666666666,23.133333333333336,73.66666666666667,22.733333333333334,72.93333333333334,23.433333333333337,74.13333333333334,23.400000000000002,74.06666666666666,23.46666666666667,74.26666666666667,549.87,2.793333333333333,549.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0
125,0.5,11.0,25.48,0.99,2.0,23.6,21.1,1.82,2.0,5.0,2.0,2.0,2.0,2.0,74.5,23.6,74.5,22.6,72.6,23.9,75.0,23.1,73.6,23.1,73.6,22.2,72.0,358.27,1.82,358.27,0.02,3.94,0.0,0.0,1.0,0.0,0.0,1.0,1.0,50.0
126,0.1,5.0,23.71,0.93,1.7,23.6,21.1,1.82,2.0,3.0,2.0,1.2,1.2,2.0,74.5,23.6,74.5,22.6,72.6,23.9,75.0,23.1,73.6,23.1,73.6,22.2,72.0,358.27,1.82,358.27,0.02,3.94,0.0,0.0,1.0,0.0,0.0,1.0,1.0,50.0
127,-0.3,7.0,20.66,0.57,2.0,23.6,21.1,1.82,2.0,4.0,2.0,2.0,2.0,2.0,74.5,23.6,74.5,22.6,72.6,23.9,75.0,23.1,73.6,23.1,73.6,22.2,72.0,358.27,1.82,358.27,0.02,3.94,0.0,0.0,1.0,0.0,0.0,1.0,1.0,50.0
128,1.4,44.0,31.43,0.9,1.6,29.6,21.8,0.06,0.0,6.0,1.2,1.0,1.9,1.9,85.2,29.6,85.2,27.7,81.9,28.2,82.7,27.9,82.2,28.1,82.6,26.1,78.9,11.81,0.06,11.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
129,0.8,20.0,28.97,0.74,1.9,27.2,29.5,0.06,1.0,5.0,1.2,2.0,2.0,2.0,81.0,27.2,81.0,21.9,71.4,23.6,74.4,23.0,73.5,23.0,73.4,22.8,73.0,11.81,0.06,11.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
130,0.3,6.0,25.49,0.64,1.3,27.2,28.7,0.04,1.0,5.0,1.2,2.0,1.2,1.2,80.9,27.2,80.9,22.5,72.5,24.0,75.2,23.8,74.8,23.6,74.4,22.8,73.1,7.87,0.04,7.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
131,0.4,8.0,26.27,0.81,1.2,27.2,28.3,0.04,1.0,5.0,1.6,1.0,1.6,1.0,81.0,27.2,81.0,23.1,73.5,24.4,76.0,23.9,75.1,23.9,74.9,24.1,75.3,7.87,0.04,7.87,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,50.0
132,0.3,7.0,25.59,0.65,1.2,27.3,27.7,0.04,0.0,5.0,1.6,1.6,1.2,1.0,81.1,27.3,81.1,23.2,73.8,24.6,76.3,24.4,75.9,24.0,75.2,24.4,75.9,7.87,0.04,7.87,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,50.0
133,0.2,5.0,25.02,0.6,1.2,27.3,27.7,0.04,0.0,5.0,1.2,1.2,1.2,1.2,81.1,27.3,81.1,23.2,73.8,24.6,76.3,24.4,75.9,24.0,75.2,24.4,75.9,7.87,0.04,7.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
134,0.4,8.0,26.19,0.71,1.2,27.1,27.7,0.02,0.0,5.0,1.2,1.2,1.2,1.2,80.8,27.1,80.8,23.4,74.0,24.7,76.4,24.6,76.4,24.1,75.5,24.6,76.3,3.94,0.02,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
135,0.7,17.0,28.19,1.02,1.2,27.1,27.7,0.02,1.0,5.0,1.2,1.2,1.2,1.2,80.8,27.1,80.8,23.4,74.0,24.7,76.4,24.6,76.4,24.1,75.5,24.6,76.3,3.94,0.02,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
136,1.3,41.0,26.94,0.76,2.8,26.6,31.6,1.52,0.0,6.0,2.8,2.8,2.8,2.8,79.9,26.6,79.9,22.6,72.7,23.9,75.0,23.6,74.5,23.5,74.3,25.3,77.5,299.21,1.52,299.21,0.02,3.94,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
137,0.3,7.0,25.81,0.67,1.2,26.8,33.5,0.02,0.0,5.0,1.2,1.2,1.2,1.2,80.2,26.8,80.2,22.5,72.6,23.5,74.3,23.4,74.2,23.3,73.9,25.6,78.1,3.94,0.02,3.94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,50.0
138,0.3,7.0,25.61,0.57,1.3,26.8,33.5,0.02,1.0,4.0,1.2,1.9,1.0,1.2,80.2,26.8,80.2,22.5,72.6,23.5,74.3,23.4,74.2,23.3,73.9,25.6,78.1,3.94,0.02,3.94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,50.0
139,-1.4,44.0,18.78,0.52,1.3,26.8,33.8,1.0,0.0,5.0,1.9,1.0,1.0,1.2,80.2,26.8,80.2,22.5,72.5,23.5,74.3,23.5,74.3,23.4,74.1,25.7,78.3,196.85,1.0,196.85,0.02,3.94,0.0,0.0,0.0,1.0,0.0,1.0,1.0,50.0
140,1.2,34.0,27.5,0.79,2.5,26.8,33.8,1.0,2.0,3.0,2.8,2.8,1.2,2.8,80.2,26.8,80.2,22.5,72.5,23.5,74.3,23.5,74.3,23.4,74.1,25.7,78.3,196.85,1.0,196.85,0.02,3.94,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
141,1.0,24.0,30.54,1.33,1.5,26.8,32.3,0.2,0.0,5.0,1.0,1.0,1.2,1.9,80.3,26.8,80.3,23.0,73.4,23.0,73.4,23.5,74.2,23.5,74.2,26.0,78.8,39.37,0.2,39.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0
142,0.2,6.0,25.31,0.69,1.4,26.8,32.3,0.2,0.0,3.0,1.6,1.9,1.9,1.0,80.3,26.8,80.3,23.0,73.4,23.0,73.4,23.5,74.2,23.5,74.2,26.0,78.8,39.37,0.2,39.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0
143,0.5,10.0,26.31,0.63,1.7,26.8,32.3,0.2,2.0,5.0,1.9,1.2,1.2,1.9,80.3,26.8,80.3,23.0,73.4,23.0,73.4,23.5,74.2,23.5,74.2,26.0,78.8,39.37,0.2,39.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0
144,1.2,36.0,32.9,1.44,1.8,26.8,32.3,0.2,0.0,6.0,1.0,1.9,1.9,1.9,80.3,26.8,80.3,23.0,73.4,23.0,73.4,23.5,74.2,23.5,74.2,26.0,78.8,39.37,0.2,39.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0
145,0.0,5.0,24.9,0.85,1.2,26.8,32.3,0.2,0.0,6.0,1.9,1.0,1.0,1.0,80.3,26.8,80.3,23.0,73.4,23.0,73.4,23.5,74.2,23.5,74.2,26.0,78.8,39.37,0.2,39.37,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0
146,-1.2,35.0,18.76,0.73,1.2,26.9,33.4,2.34,0.0,5.0,1.2,1.2,1.2,1.2,80.5,26.9,80.5,23.0,73.4,23.3,73.9,23.6,74.4,23.6,74.5,25.8,78.4,460.63,2.34,460.63,0.02,3.94,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0
147,-0.8,19.0,19.54,0.89,1.2,27.0,30.9,3.42,1.0,5.0,1.0,1.6,1.2,1.2,80.6,27.0,80.6,23.0,73.4,24.0,75.2,23.6,74.5,23.7,74.7,25.4,77.7,673.23,3.42,673.23,0.02,3.94,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0
148,-1.4000000000000001,55.333333333333336,18.33,0.77,1.6,28.8,16.666666666666668,5.38,2.0,5.0,1.2,2.0,1.6,1.6,83.9,28.8,83.9,26.6,80.0,26.4,79.5,29.4,84.9,27.6,81.6,23.0,73.4,1059.06,5.38,1059.06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,50.0
149,-1.4000000000000001,55.333333333333336,18.33,0.71,1.5,28.8,16.666666666666668,5.38,1.0,5.0,1.2,1.2,1.0,1.9,83.9,28.8,83.9,26.6,80.0,26.4,79.5,29.4,84.9,27.6,81.6,23.0,73.4,1059.06,5.38,1059.06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,50.0
150,-0.6666666666666666,19.0,20.23,0.64,1.3,27.1,22.100000000000005,4.26,1.0,5.0,1.9,1.2,1.2,1.2,80.7,27.1,80.7,25.4,77.7,25.7,78.3,27.0,80.6,26.5,79.7,22.2,72.0,838.58,4.26,838.58,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,50.0
151,-0.26666666666666666,17.666666666666668,21.74666666666667,0.58,1.3666666666666665,25.3,17.2,1.92,1.0,5.0,1.9,1.2,1.1333333333333335,1.4333333333333333,77.6,25.3,77.6,20.5,68.9,21.9,71.4,22.2,71.9,21.6,71.0,22.0,71.7,377.95,1.92,377.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,50.0
152,-1.2,37.0,16.82,0.62,1.7,25.3,17.2,1.92,-1.0,5.0,1.6,1.6,1.0,1.9,77.6,25.3,77.6,20.5,68.9,21.9,71.4,22.2,71.9,21.6,71.0,22.0,71.7,377.95,1.92,377.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,50.0
153,-0.7,14.0,21.58,0.82,1.4,24.0,14.0,0.46,0.0,5.0,1.0,1.2,1.2,1.6,75.3,24.0,75.3,22.7,72.9,22.9,73.2,22.5,72.5,22.9,73.2,19.4,66.9,90.55,0.46,90.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
154,-0.5,11.0,23.06,0.77,1.1,24.2,14.0,0.04,0.0,4.0,1.0,1.0,1.2,1.2,75.6,24.2,75.6,22.5,72.6,22.9,73.2,22.2,72.0,22.7,72.8,19.6,67.3,7.87,0.04,7.87,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,50.0
155,0.3,6.0,25.72,0.55,2.0,21.8,21.6,0.06,0.0,6.0,2.0,2.0,2.0,2.0,71.3,21.8,71.3,19.8,67.6,20.4,68.8,19.8,67.6,20.4,68.7,22.0,71.6,11.81,0.06,11.81,0.02,3.94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0
156,-0.9,24.0,20.35,0.65,1.3,25.8,20.7,2.22,2.0,5.0,1.9,1.0,1.2,1.2,78.4,25.8,78.4,23.5,74.4,24.0,75.3,25.6,78.2,23.8,74.9,22.96666666666667,73.39999999999999,437.01,2.22,437.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,50.0
157,-0.1,5.0,22.94,0.82,1.4,25.4,19.5,1.84,2.0,5.0,2.0,2.0,1.6,1.0,77.8,25.4,77.8,23.8,74.8,24.0,75.1,25.4,77.7,23.9,75.1,22.2,72.0,362.2,1.84,362.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,50.0
158,-1.2,35.0,19.32,0.59,1.4,24.9,16.7,2.94,2.0,5.0,1.6,1.9,1.2,1.2,76.7,24.9,76.7,23.8,74.8,23.9,75.1,24.4,76.0,23.9,75.0,23.2,73.7,578.74,2.94,578.74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,50.0
159,-1.4333333333333333,47.0,18.59,0.59,1.2,24.9,16.7,2.94,1.0,4.0,1.0,1.6,1.6,1.1333333333333335,76.7,24.9,76.7,23.8,74.8,23.9,75.1,24.4,76.0,23.9,75.0,23.2,73.7,578.74,2.94,578.74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,50.0
160,-3.0,99.0,12.65,0.46,1.0,24.4,16.2,6.54,0.0,5.0,1.0,1.0,1.0,1.0,76.0,24.4,76.0,23.4,74.1,23.4,74.1,23.7,74.7,23.5,74.4,22.733333333333334,72.93333333333334,1287.4,6.54,1287.4,0.02,3.94,0.0,0.0,1.0,0.0,0.0,1.0,1.0,50.0
161,-3.0,99.0,14.49,0.57,1.0,24.4,16.2,6.54,0.0,5.0,1.0,1.0,1.0,1.0,76.0,24.4,76.0,23.4,74.1,23.4,74.1,23.7,74.7,23.5,74.4,22.733333333333334,72.93333333333334,1287.4,6.54,1287.4,0.02,3.94,0.0,0.0,1.0,0.0,0.0,1.0,1.0,50.0
162,-2.0,75.0,16.7,0.75,1.2,24.8,16.2,5.64,0.0,5.0,1.2,1.2,1.2,1.2,76.7,24.8,76.7,23.1,73.6,22.5,72.5,23.2,73.8,23.2,73.7,22.733333333333334,72.93333333333334,1110.24,5.64,1110.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
163,-1.4,44.0,18.44,0.9,1.2,24.8,16.2,5.64,1.0,3.0,1.2,1.2,1.2,1.2,76.7,24.8,76.7,23.1,73.6,22.5,72.5,23.2,73.8,23.2,73.7,22.733333333333334,72.93333333333334,1110.24,5.64,1110.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
164,-2.2,86.0,15.73,0.64,1.3,24.8,16.2,5.64,1.0,5.0,1.2,1.2,1.6,1.2,76.7,24.8,76.7,23.1,73.6,22.5,72.5,23.2,73.8,23.2,73.7,22.733333333333334,72.93333333333334,1110.24,5.64,1110.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
165,0.0,5.0,22.56,1.02,1.6,24.7,17.6,5.28,0.0,5.0,1.6,1.6,1.6,1.6,76.5,24.7,76.5,23.2,73.8,21.9,71.3,23.5,74.3,23.4,74.2,22.733333333333334,72.93333333333334,1039.37,5.28,1039.37,0.02,3.94,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
166,-1.2,33.0,18.59,0.83,1.3,25.5,17.8,3.44,0.0,4.0,1.0,1.6,1.6,1.2,77.9,25.5,77.9,23.1,73.7,22.3,72.1,23.2,73.8,23.3,73.9,23.23333333333333,73.8,677.17,3.44,677.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
167,-1.2,35.0,18.3,0.45,1.7,24.3,18.1,2.54,0.0,4.0,1.0,1.9,1.2,2.0,75.7,24.3,75.7,23.3,74.0,22.7,72.9,23.6,74.4,23.5,74.3,23.333333333333332,73.93333333333334,500.0,2.54,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
168,-0.9,22.0,19.32,0.53,1.7,24.3,18.1,2.54,-1.0,4.0,1.0,1.0,2.0,2.0,75.7,24.3,75.7,23.3,74.0,22.7,72.9,23.6,74.4,23.5,74.3,23.333333333333332,73.93333333333334,500.0,2.54,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
169,-2.1,82.0,17.93,0.65,1.1,24.3,18.1,2.54,0.0,5.0,1.0,1.0,1.0,1.2,75.7,24.3,75.7,23.3,74.0,22.7,72.9,23.6,74.4,23.5,74.3,23.333333333333332,73.93333333333334,500.0,2.54,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
170,-2.9,99.0,16.72,0.6,1.0,24.3,18.1,2.54,0.0,5.0,1.0,1.0,1.0,1.0,75.7,24.3,75.7,23.3,74.0,22.7,72.9,23.6,74.4,23.5,74.3,23.333333333333332,73.93333333333334,500.0,2.54,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
171,-1.9,71.0,18.15,0.61,1.2,24.3,18.1,2.54,0.0,5.0,1.0,1.6,1.6,1.0,75.7,24.3,75.7,23.3,74.0,22.7,72.9,23.6,74.4,23.5,74.3,23.333333333333332,73.93333333333334,500.0,2.54,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
172,-1.9,70.0,17.1,0.61,1.3,24.7,17.5,3.1,1.0,5.0,1.0,1.0,1.0,1.6,76.5,24.7,76.5,23.2,73.8,23.9,75.1,23.5,74.3,23.5,74.4,22.7,72.9,610.24,3.1,610.24,1.6,315.2,0.1,19.7,0.0,0.0,0.0,1.0,1.0,50.0
173,-2.3,87.0,16.61,0.64,1.2,24.7,17.5,3.1,0.0,5.0,1.0,1.2,1.2,1.2,76.5,24.7,76.5,23.2,73.8,23.9,75.1,23.5,74.3,23.5,74.4,22.7,72.9,610.24,3.1,610.24,1.6,315.2,0.1,19.7,0.0,0.0,0.0,1.0,1.0,50.0
174,-3.0,99.0,14.38,0.57,1.0,24.7,17.5,3.1,0.0,5.0,1.0,1.0,1.0,1.0,76.5,24.7,76.5,23.2,73.8,23.9,75.1,23.5,74.3,23.5,74.4,22.7,72.9,610.24,3.1,610.24,1.6,315.2,0.1,19.7,0.0,0.0,0.0,1.0,1.0,50.0
175,0.6,12.0,25.89,0.96,1.8,25.5,17.1,0.79,0.0,5.0,1.0,2.0,2.0,2.0,77.9,25.5,77.9,23.7,74.6,24.3,75.7,24.0,75.3,24.0,75.3,23.1,73.5,155.51,0.79,155.51,0.91,179.27,0.1,19.7,0.0,0.0,0.0,1.0,1.0,50.0
176,-0.7,17.0,22.37,1.05,1.0,25.5,17.1,0.79,0.0,4.0,1.0,1.0,1.0,1.0,77.9,25.5,77.9,23.7,74.6,24.3,75.7,24.0,75.3,24.0,75.3,23.1,73.5,155.51,0.79,155.51,0.91,179.27,0.1,19.7,0.0,0.0,0.0,1.0,1.0,50.0
177,-0.9,23.0,21.03,0.76,1.2,25.5,17.1,0.79,0.0,5.0,1.0,1.2,1.2,1.2,77.9,25.5,77.9,23.7,74.6,24.3,75.7,24.0,75.3,24.0,75.3,23.1,73.5,155.51,0.79,155.51,0.91,179.27,0.1,19.7,0.0,0.0,0.0,1.0,1.0,50.0
178,-0.4,9.0,21.06,0.53,1.7,25.5,17.1,0.79,-1.0,4.0,1.0,1.0,2.0,2.0,77.9,25.5,77.9,23.7,74.6,24.3,75.7,24.0,75.3,24.0,75.3,23.1,73.5,155.51,0.79,155.51,0.91,179.27,0.1,19.7,0.0,0.0,0.0,1.0,1.0,50.0
179,-2.2,83.0,18.42,0.6,1.0,25.5,17.1,0.79,0.0,5.0,1.0,1.0,1.0,1.0,77.9,25.5,77.9,23.7,74.6,24.3,75.7,24.0,75.3,24.0,75.3,23.1,73.5,155.51,0.79,155.51,0.91,179.27,0.1,19.7,0.0,0.0,0.0,1.0,1.0,50.0
180,0.3,7.0,26.0,1.33,1.3,25.5,17.1,0.79,-2.0,4.0,1.0,1.2,2.0,1.2,77.9,25.5,77.9,23.7,74.6,24.3,75.7,24.0,75.3,24.0,75.3,23.1,73.5,155.51,0.79,155.51,0.91,179.27,0.1,19.7,0.0,0.0,0.0,1.0,1.0,50.0
181,-1.6,56.0,19.79,0.74,1.0,25.5,17.1,0.79,0.0,5.0,1.0,1.0,1.0,1.0,77.9,25.5,77.9,23.7,74.6,24.3,75.7,24.0,75.3,24.0,75.3,23.1,73.5,155.51,0.79,155.51,0.91,179.27,0.1,19.7,0.0,0.0,0.0,1.0,1.0,50.0
182,-1.2,37.0,20.5,1.11,1.0,24.3,16.2,1.95,0.0,4.0,1.0,1.0,1.0,1.0,75.7,24.3,75.7,23.0,73.4,23.4,74.1,23.0,73.3,23.0,73.5,22.2,71.9,383.86,1.95,383.86,3.42,673.74,0.1,19.7,0.0,0.0,0.0,1.0,0.0,50.0
183,-2.4,91.0,16.43,0.6,1.2,24.3,16.2,1.95,0.0,5.0,1.0,1.2,1.2,1.2,75.7,24.3,75.7,23.0,73.4,23.4,74.1,23.0,73.3,23.0,73.5,22.2,71.9,383.86,1.95,383.86,3.42,673.74,0.1,19.7,0.0,0.0,0.0,1.0,1.0,50.0
184,0.2,6.0,26.34,1.17,1.1,24.3,17.7,0.02,-1.0,4.0,1.0,1.6,1.0,1.0,75.8,24.3,75.8,22.6,72.7,22.9,73.1,23.0,73.4,23.0,73.4,21.8,71.2,3.94,0.02,3.94,0.02,3.94,0.0,0.0,0.0,0.0,0.0,1.0,1.0,77.0
185,0.8,19.0,27.78,0.39,1.5,26.3,50.6,0.08,1.0,5.0,2.0,2.0,1.2,1.2,79.3,26.3,79.3,26.7,80.1,27.2,80.9,26.9,80.3,26.7,80.1,26.4,79.6,16.58,0.08,16.58,0.08,16.59,0.05,10.66,1.0,0.0,1.0,1.0,0.0,77.0
186,0.2,6.0,25.51,0.39,1.1,26.6,45.8,0.09,0.0,5.0,1.6,1.0,1.0,1.0,80.0,26.6,80.0,26.3,79.3,26.7,80.0,27.2,81.0,26.8,80.2,26.3,79.3,18.54,0.09,18.54,0.09,17.16,0.06,11.51,1.0,0.0,1.0,1.0,0.0,77.0
187,0.7,14.0,27.12,0.39,1.4,26.5,45.7,0.1,1.0,5.0,1.2,1.9,1.9,1.2,79.6,26.5,79.6,26.0,78.8,26.3,79.4,27.0,80.6,26.4,79.6,25.9,78.6,19.58,0.1,19.58,0.1,20.27,0.06,12.17,0.0,0.0,1.0,1.0,0.0,77.0
188,-0.1,5.0,24.3,0.28,1.1,26.5,45.7,0.1,2.0,2.0,1.0,1.0,1.0,1.2,79.6,26.5,79.6,26.0,78.8,26.3,79.4,27.0,80.6,26.4,79.6,25.9,78.6,19.58,0.1,19.58,0.1,20.27,0.06,12.17,0.0,0.0,0.0,1.0,0.0,77.0
189,-0.1,5.0,24.72,0.34,1.0,26.8,47.3,0.1,0.0,5.0,1.0,1.0,1.0,1.0,80.2,26.8,80.2,26.4,79.5,26.7,80.1,27.3,81.2,26.8,80.2,26.3,79.3,18.78,0.1,18.78,0.09,18.04,0.04,7.99,0.0,0.0,1.0,1.0,0.0,77.0
190,0.7,15.0,27.27,0.39,1.5,26.2,47.9,0.09,0.0,4.0,1.0,1.0,1.0,1.9,79.2,26.2,79.2,26.0,78.9,26.6,79.9,26.6,79.9,26.4,79.6,26.1,79.0,18.62,0.09,18.62,0.09,18.19,0.05,9.65,1.0,0.0,1.0,1.0,0.0,77.0
191,-0.1,5.0,24.53,0.42,1.5,22.0,52.6,0.08,0.0,3.0,1.0,1.2,1.0,2.0,71.6,22.0,71.6,22.5,72.5,23.3,73.9,22.4,72.4,22.9,73.1,22.9,73.3,16.04,0.08,16.04,0.08,16.04,0.05,9.89,1.0,1.0,0.0,1.0,0.0,77.0
192,-0.4,8.0,23.58,0.44,1.3,22.1,52.4,0.08,0.0,5.0,1.2,1.2,2.0,1.2,71.9,22.1,71.9,22.6,72.6,23.3,74.0,22.6,72.7,23.0,73.4,23.0,73.4,16.01,0.08,16.01,0.08,15.87,0.04,8.06,1.0,1.0,0.0,1.0,0.0,77.0
193,-0.5,11.0,23.13,0.44,1.3,22.1,52.4,0.08,0.0,4.0,1.0,1.0,2.0,1.2,71.9,22.1,71.9,22.6,72.6,23.3,74.0,22.6,72.7,23.0,73.4,23.0,73.4,16.01,0.08,16.01,0.08,15.87,0.04,8.06,1.0,1.0,0.0,1.0,0.0,77.0
194,-0.2,6.0,24.45,0.42,1.0,25.9,48.1,0.07,0.0,5.0,1.0,1.0,1.0,1.0,78.5,25.9,78.5,25.6,78.2,25.9,78.6,26.4,79.5,26.0,78.8,25.5,78.0,13.65,0.07,13.65,0.07,14.14,0.03,5.63,1.0,0.0,0.0,1.0,0.0,77.0
195,0.5,11.0,26.37,0.43,1.5,26.1,23.7,0.09,0.0,4.0,1.0,1.0,1.0,1.9,78.9,26.1,78.9,25.8,78.5,26.3,79.4,26.5,79.6,26.2,79.2,25.9,78.6,17.68,0.09,17.68,0.08,16.07,0.06,11.16,1.0,0.0,1.0,1.0,0.0,77.0
196,0.0,5.0,24.92,0.47,1.1,26.1,23.7,0.09,1.0,4.0,1.0,1.0,1.0,1.2,78.9,26.1,78.9,25.8,78.5,26.3,79.4,26.5,79.6,26.2,79.2,25.9,78.6,17.68,0.09,17.68,0.08,16.07,0.06,11.16,1.0,0.0,1.0,1.0,0.0,77.0
197,-0.4,8.0,24.13,0.4,1.0,26.1,23.7,0.09,1.0,5.0,1.0,1.0,1.0,1.0,78.9,26.1,78.9,25.8,78.5,26.3,79.4,26.5,79.6,26.2,79.2,25.9,78.6,17.68,0.09,17.68,0.08,16.07,0.06,11.16,1.0,0.0,1.0,1.0,0.0,77.0
198,0.4,9.0,25.72,0.39,1.2,27.2,27.1,0.08,1.0,5.0,1.2,1.2,1.2,1.2,81.0,27.2,81.0,26.9,80.4,26.9,80.4,27.7,81.8,27.1,80.8,26.4,79.4,15.52,0.08,15.52,0.08,15.08,0.03,5.84,1.0,0.0,1.0,1.0,0.0,77.0
