,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡F)
0,1.3,39.0,30.48,0.45,2.3,25.0,43.4,0.0,1.0,77.0,25.0,77.0,25.0,77.0,-1.0,0.0,70.7
1,0.4,9.0,26.36,0.58,1.2,25.6,41.8,0.0,2.0,78.1,25.9,78.6,25.8,78.4,2.0,0.0,70.7
2,0.5,10.0,26.76,0.6,1.2,25.7,41.8,0.0,1.0,78.3,26.3,79.3,26.2,79.2,-1.0,0.0,69.66666666666667
3,0.6,12.0,27.0,0.63,1.2,25.8,40.1,0.0,0.0,78.4,26.4,79.5,26.3,79.3,0.0,0.0,70.7
4,0.6,12.0,26.9,0.57,1.2,26.0,39.8,0.0,1.0,78.8,27.0,80.6,26.8,80.2,1.0,0.0,70.7
5,0.3,6.0,25.59,0.44,1.2,25.7,41.0,0.0,2.0,78.3,26.5,79.7,26.3,79.3,3.0,0.0,70.7
6,0.7,15.0,27.44,0.51,1.4,25.7,41.7,0.0,2.0,78.3,26.9,80.4,26.5,79.7,-1.0,0.0,63.366666666666674
7,0.8,20.0,28.3,0.53,1.6,25.5,41.2,0.0,2.0,77.9,26.1,79.0,26.0,78.8,-2.0,0.0,63.36666666666667
8,0.3,7.0,26.14,0.61,1.2,25.0,39.8,0.0,0.0,77.0,25.9,78.6,25.6,78.1,3.0,0.0,70.7
9,0.0,5.0,24.68,0.44,1.2,24.7,39.4,0.0,-1.0,76.5,25.9,78.6,25.5,77.9,0.0,0.0,70.7
10,0.8,19.0,28.15,0.52,1.6,25.4,39.8,0.0,1.0,77.7,26.3,79.3,26.1,79.0,2.0,0.0,70.7
11,0.1,5.0,25.26,0.43,1.2,25.3,39.9,0.0,2.0,77.5,26.5,79.7,26.2,79.2,-2.0,0.0,69.66666666666667
12,0.8,18.0,28.38,0.76,1.3,25.4,40.6,0.0,0.0,77.7,26.0,78.8,25.9,78.6,0.0,0.0,69.66666666666667
13,1.0,28.0,28.79,0.35,2.0,25.4,43.4,0.0,1.0,77.7,26.1,79.0,26.0,78.8,1.0,0.0,70.7
14,0.4,9.0,26.55,0.59,1.2,25.4,41.7,0.0,1.0,77.7,26.5,79.7,26.2,79.2,-2.0,0.0,70.7
15,0.9,20.0,28.47,0.56,1.6,25.4,41.5,0.0,1.0,77.7,26.0,78.8,25.9,78.6,0.0,0.0,63.36666666666667
16,0.5,10.0,26.51,0.57,1.2,26.0,38.9,0.0,2.0,78.8,26.2,79.2,26.1,79.0,1.0,0.0,70.7
17,0.4,8.0,26.18,0.55,1.2,25.5,38.3,0.0,2.0,77.9,26.5,79.7,26.2,79.2,-2.0,0.0,69.66666666666667
18,0.6,12.0,27.66,0.43,1.9,22.8,56.5,0.0,0.0,73.0,24.3,75.7,24.0,75.2,0.0,0.0,62.70000000000001
19,0.6,14.0,28.1,0.48,1.9,22.7,56.0,0.0,0.0,72.9,24.2,75.6,24.0,75.2,-2.0,0.0,70.7
20,0.5,10.0,27.22,0.77,1.2,24.3,54.0,0.0,1.0,75.7,25.1,77.2,25.0,77.0,0.0,0.0,63.36666666666667
21,0.8,20.0,28.22,0.35,1.9,24.7,53.2,0.0,1.0,76.5,25.4,77.7,25.3,77.5,0.0,0.0,64.39999999999999
22,0.2,6.0,25.84,0.63,1.2,24.1,52.5,0.0,0.0,75.4,24.9,76.8,24.7,76.5,1.0,0.0,70.7
23,0.7,16.0,28.3,0.51,1.8,23.9,54.0,0.0,0.0,75.0,24.3,75.7,24.3,75.7,0.0,0.0,62.699999999999996
24,0.0,5.0,25.24,0.63,1.2,22.9,57.4,0.0,0.0,73.2,24.7,76.5,24.4,75.9,0.0,0.0,70.7
25,1.0,25.0,30.44,0.7,1.9,23.7,54.9,0.0,0.0,74.7,24.3,75.7,24.2,75.6,-1.0,0.0,69.66666666666667
26,-0.1,5.0,25.05,0.72,1.2,22.4,53.2,0.0,0.0,72.3,23.8,74.8,23.4,74.1,0.0,0.0,69.66666666666667
27,1.3,39.0,31.07,0.49,2.4,23.6,49.4,0.0,0.0,74.5,24.1,75.4,24.0,75.2,2.0,0.0,70.7
28,0.8,18.0,28.68,0.53,1.9,23.3,49.6,0.0,0.0,73.9,24.8,76.6,24.3,75.7,0.0,0.0,63.73333333333333
29,0.4,8.0,26.98,0.63,1.6,22.5,52.2,0.0,0.0,72.5,24.6,76.3,23.8,74.8,2.0,0.0,70.7
30,0.3,7.0,26.51,0.69,1.2,23.8,51.6,0.1,1.0,74.8,25.0,77.0,24.6,76.3,2.0,19.69,63.5
31,0.7,15.0,28.2,0.53,1.8,23.2,51.3,0.0,1.0,73.8,25.3,77.5,24.7,76.5,-1.0,0.0,62.53333333333334
32,0.1,5.0,25.7,0.63,1.2,22.6,50.9,0.1,0.0,72.7,25.1,77.2,24.2,75.6,2.0,19.69,61.666666666666664
33,0.1,5.0,25.71,0.69,1.2,23.2,50.6,0.0,-2.0,73.8,24.8,76.6,24.5,76.1,0.0,0.0,67.8
34,0.1,5.0,25.98,0.68,1.2,22.2,53.5,0.1,-1.0,72.0,25.6,78.1,24.0,75.2,0.0,19.69,61.666666666666664
35,0.2,6.0,25.96,0.63,1.2,24.7,47.9,0.1,1.0,76.5,24.8,76.6,24.7,76.5,0.0,19.69,62.333333333333336
36,0.9,20.0,28.84,0.65,1.6,25.4,45.8,0.0,1.0,77.7,25.1,77.2,25.2,77.4,0.0,0.0,63.36666666666667
37,0.4,8.0,26.48,0.63,1.2,25.1,48.1,0.0,2.0,77.2,25.4,77.7,25.3,77.5,1.0,0.0,70.7
38,0.4,9.0,26.79,0.59,1.4,24.0,47.9,0.0,1.0,75.2,25.6,78.1,25.2,77.4,0.0,0.0,63.36666666666667
39,-0.1,5.0,25.3,0.6,1.2,22.0,54.4,0.1,-2.0,71.6,25.5,77.9,23.9,75.0,0.0,19.69,61.666666666666664
40,0.1,5.0,25.84,0.58,1.6,22.0,61.5,0.0,0.0,71.6,22.3,72.1,22.2,72.0,0.0,0.0,65.1
41,-0.4,8.0,23.78,0.58,1.2,22.4,55.2,0.0,-2.0,72.3,23.4,74.1,23.1,73.6,0.0,0.0,65.1
42,-0.2,6.0,24.52,0.58,1.2,23.1,52.8,0.0,1.0,73.6,24.2,75.6,23.9,75.0,-1.0,0.0,65.1
43,0.4,9.0,26.88,0.51,1.6,23.7,51.3,0.0,-2.0,74.7,25.0,77.0,24.7,76.5,1.0,0.0,65.1
44,0.3,6.0,26.06,0.53,1.4,23.7,54.9,0.0,0.0,74.7,23.8,74.8,23.8,74.8,0.0,0.0,65.1
45,0.1,5.0,25.6,0.65,1.2,23.6,54.6,0.0,0.0,74.5,24.6,76.3,24.3,75.7,0.0,0.0,65.1
46,1.3,40.0,31.47,0.53,2.3,24.3,53.2,0.0,1.0,75.7,24.9,76.8,24.8,76.6,0.0,0.0,65.1
47,0.4,9.0,26.48,0.57,1.2,25.3,50.5,0.0,2.0,77.5,25.9,78.6,25.8,78.4,2.0,0.0,65.1
48,0.4,9.0,26.64,0.57,1.3,25.0,51.4,0.0,1.0,77.0,25.8,78.4,25.6,78.1,0.0,0.0,65.1
49,0.7,15.0,28.4,0.69,1.6,23.7,51.3,0.0,0.0,74.7,24.9,76.8,24.6,76.3,0.0,0.0,65.1
50,1.0,24.0,29.78,0.57,1.8,23.5,50.8,0.1,0.0,74.3,25.9,78.6,24.9,76.8,0.0,19.69,65.1
51,0.1,5.0,25.31,0.57,1.2,24.2,49.4,0.0,0.0,75.6,25.0,77.0,24.7,76.5,0.0,0.0,65.1
52,0.3,7.0,26.37,0.65,1.2,24.4,48.4,0.0,0.0,75.9,25.6,78.1,25.4,77.7,0.0,0.0,65.1
53,0.3,7.0,26.26,0.56,1.3,23.9,50.5,0.0,-1.0,75.0,25.9,78.6,25.4,77.7,0.0,0.0,65.1
54,0.9,20.0,29.36,0.67,1.7,23.9,51.3,0.0,1.0,75.0,25.9,78.6,25.2,77.4,0.0,0.0,65.1
55,0.3,7.0,26.82,0.83,1.2,23.2,51.0,0.0,-2.0,73.8,25.1,77.2,24.6,76.3,1.0,0.0,65.1
56,1.1,29.0,30.58,0.55,2.3,22.6,51.7,0.1,0.0,72.7,23.9,75.0,23.4,74.1,1.0,19.69,65.1
57,0.8,18.0,28.17,0.39,1.9,24.5,48.5,0.1,2.0,76.1,25.0,77.0,24.8,76.6,2.0,19.69,65.1
58,0.5,9.0,26.66,0.44,1.6,24.3,50.0,0.0,2.0,75.7,25.3,77.5,25.1,77.2,0.0,0.0,65.1
59,-0.1,5.0,24.64,0.68,1.2,23.2,37.1,0.0,1.0,73.8,23.3,73.9,23.3,73.9,0.0,0.0,70.7
60,0.3,7.0,26.63,0.93,1.2,23.4,35.1,0.0,0.0,74.1,23.8,74.8,23.7,74.7,0.0,0.0,70.7
61,-0.1,5.0,24.87,0.68,1.2,23.3,36.1,0.0,0.0,73.9,23.8,74.8,23.7,74.7,0.0,0.0,70.7
62,0.2,6.0,25.74,0.61,1.4,23.5,33.6,0.0,0.0,74.3,24.2,75.6,24.2,75.6,0.0,0.0,70.7
63,0.5,11.0,27.21,0.63,1.6,23.7,32.3,0.0,-2.0,74.7,24.6,76.3,24.4,75.9,0.0,0.0,70.7
64,0.0,5.0,25.08,0.64,1.2,23.8,31.8,0.0,1.0,74.8,24.7,76.5,24.5,76.1,-1.0,0.0,70.7
65,0.0,5.0,25.14,0.64,1.2,23.8,32.2,0.0,0.0,74.8,24.8,76.6,24.6,76.3,-1.0,0.0,70.7
66,0.3,7.0,26.11,0.6,1.4,24.2,31.3,0.0,0.0,75.6,24.7,76.5,24.7,76.5,2.0,0.0,70.7
67,0.4000000000000001,10.333333333333334,26.50333333333333,0.78,1.2,24.53333333333333,37.36666666666667,0.0,1.0,76.13333333333334,25.066666666666666,77.13333333333334,25.0,77.03333333333333,2.0,0.0,70.7
68,0.43333333333333335,9.0,26.450000000000003,0.77,1.2,25.566666666666666,42.93333333333334,0.0,2.0,78.03333333333335,25.833333333333332,78.5,25.733333333333334,78.3,2.0,0.0,70.7
69,0.4000000000000001,10.333333333333334,26.50333333333333,0.62,1.2,24.53333333333333,37.36666666666667,0.0,1.0,76.13333333333334,25.066666666666666,77.13333333333334,25.0,77.03333333333333,2.0,0.0,70.7
70,0.43333333333333335,9.0,26.450000000000003,0.63,1.2,25.566666666666666,42.93333333333334,0.0,2.0,78.03333333333335,25.833333333333332,78.5,25.733333333333334,78.3,2.0,0.0,70.7
71,0.3,7.333333333333333,26.73,0.93,1.2,23.600000000000005,47.86666666666667,0.0,0.0,74.43333333333334,23.8,74.83333333333333,23.766666666666666,74.76666666666667,0.0,0.0,70.7
72,0.3333333333333333,8.666666666666666,26.453333333333333,0.88,1.2,24.700000000000003,42.199999999999996,0.0,1.0,76.46666666666665,25.2,77.36666666666667,25.099999999999998,77.23333333333333,-1.0,0.0,70.7
73,0.19999999999999998,7.0,25.866666666666664,0.68,1.2,23.866666666666664,40.76666666666667,0.0,-2.0,75.0,25.100000000000005,77.16666666666666,24.8,76.63333333333334,-1.0,0.0,70.7
74,0.6999999999999998,15.333333333333334,28.213333333333335,0.52,2.4,23.333333333333332,37.5,0.0,0.0,73.96666666666667,24.46666666666667,76.0,24.733333333333334,76.53333333333335,0.0,0.0,70.7
75,0.7000000000000001,15.333333333333334,28.213333333333335,0.71,2.0,23.333333333333332,45.199999999999996,0.0,0.0,73.96666666666667,24.46666666666667,76.0,24.433333333333334,75.96666666666665,0.0,0.0,70.7
76,0.13333333333333333,7.666666666666667,25.536666666666665,0.6,1.2,23.833333333333332,50.53333333333333,0.0,0.0,74.9,24.8,76.63333333333334,24.63333333333333,76.33333333333333,0.0,0.0,70.7
77,0.06666666666666667,5.333333333333333,25.319999999999997,0.56,2.0,23.7,32.0,0.0,0.0,74.63333333333333,24.566666666666666,76.23333333333333,24.7,76.5,0.0,0.0,70.7
78,0.16666666666666666,6.0,25.66333333333333,0.63,1.2,23.833333333333332,32.8,0.0,0.0,74.89999999999999,24.566666666666666,76.23333333333333,24.7,76.5,1.0,0.0,70.7
79,0.09999999999999999,5.666666666666667,25.44333333333333,0.59,1.6,23.933333333333334,30.1,0.0,1.0,75.06666666666666,24.733333333333334,76.53333333333333,25.1,77.2,0.0,0.0,70.7
80,0.06666666666666667,5.333333333333333,25.319999999999997,0.71,1.5,23.7,33.5,0.0,0.0,74.63333333333333,24.566666666666666,76.23333333333333,25.0,77.0,0.0,0.0,70.7
81,0.09999999999999999,5.666666666666667,25.44333333333333,0.55,2.4,23.933333333333334,30.9,0.0,0.0,75.06666666666666,24.733333333333334,76.53333333333333,25.2,77.4,0.0,0.0,70.7
82,-0.10000000000000002,5.333333333333333,25.096666666666664,0.46,2.3,22.3,28.233333333333334,5.0,0.0,72.13333333333334,22.866666666666664,73.16666666666666,22.566666666666666,72.63333333333334,0.0,984.25,70.7
83,0.16666666666666666,7.333333333333333,25.689999999999998,0.63,1.2,23.96666666666667,49.93333333333334,0.0,0.0,75.13333333333334,24.933333333333334,76.89999999999999,24.8,76.6,0.0,0.0,70.7
84,0.16666666666666666,7.333333333333333,25.689999999999998,0.63,1.2,23.96666666666667,49.93333333333334,0.0,0.0,75.13333333333334,24.933333333333334,76.89999999999999,24.8,76.6,0.0,0.0,70.7
85,0.2333333333333333,6.666666666666667,26.396666666666665,0.82,1.2,23.5,53.76666666666667,0.0,0.0,74.3,23.766666666666666,74.8,23.766666666666666,74.76666666666667,0.0,0.0,70.7
86,0.03333333333333333,5.333333333333333,25.236666666666668,0.62,1.2,23.566666666666666,47.56666666666666,0.0,0.0,74.4,24.13333333333333,75.43333333333334,24.333333333333332,75.86666666666666,1.0,0.0,70.7
87,0.6999999999999998,15.333333333333334,28.213333333333335,0.48,2.0,23.333333333333332,46.03333333333333,0.0,0.0,73.96666666666667,24.46666666666667,76.0,24.333333333333332,75.8,0.0,0.0,70.7
88,0.03333333333333333,5.333333333333333,25.236666666666668,0.57,1.2,23.566666666666666,47.56666666666666,0.0,0.0,74.4,24.13333333333333,75.43333333333334,24.333333333333332,75.86666666666666,1.0,0.0,70.7
89,0.0,5.333333333333333,25.276666666666667,0.69,1.2,23.2,43.53333333333334,0.0,0.0,73.73333333333333,24.0,75.16666666666667,23.833333333333332,74.93333333333334,0.0,0.0,70.7
90,0.16666666666666666,6.0,25.823333333333334,1.08,1.2,23.600000000000005,47.56666666666666,0.0,0.0,74.46666666666667,24.13333333333333,75.43333333333334,24.333333333333332,75.86666666666666,1.0,0.0,70.7
91,0.8000000000000002,20.0,27.97,0.56,2.0,25.366666666666664,37.76666666666666,0.0,1.0,77.66666666666667,26.166666666666668,79.10000000000001,25.96666666666667,78.73333333333333,1.0,0.0,70.7
92,-0.4,9.0,23.61,0.67,1.2,21.9,49.1,0.0,0.0,71.4,22.1,71.8,22.1,71.8,0.0,0.0,65.9
93,0.2,6.0,26.36,0.77,1.4,21.9,49.1,0.0,0.0,71.4,22.5,72.5,22.4,72.3,1.0,0.0,65.9
94,0.0,5.0,25.27,0.71,1.3,22.3,48.1,0.0,0.0,72.1,22.8,73.0,22.7,72.9,0.0,0.0,65.9
95,0.0,5.0,25.13,0.7,1.3,22.3,47.9,0.0,1.0,72.1,22.7,72.9,22.6,72.7,0.0,0.0,65.9
96,-0.6,13.0,22.9,0.47,1.2,22.4,48.3,0.0,0.0,72.3,23.6,74.5,23.4,74.1,0.0,0.0,65.9
97,-0.3,7.0,24.05,0.58,1.2,22.8,45.7,0.0,-1.0,73.0,23.7,74.7,23.6,74.5,0.0,0.0,65.9
98,-0.4,8.0,23.85,0.56,1.2,22.7,46.1,0.0,1.0,72.9,23.7,74.7,23.6,74.5,0.0,0.0,65.9
99,0.0,5.0,25.15,0.73,1.2,22.6,46.5,0.0,-1.0,72.7,23.8,74.8,23.6,74.5,0.0,0.0,65.9
100,0.2,6.0,25.89,0.64,1.4,22.9,45.2,0.0,-1.0,73.2,24.0,75.2,23.8,74.8,0.0,0.0,65.9
101,0.6,12.0,27.73,0.56,1.8,22.9,45.0,0.0,-1.0,73.2,24.4,75.9,24.0,75.2,0.0,0.0,65.9
102,0.1,5.0,25.92,0.82,1.2,22.8,45.0,0.0,0.0,73.0,23.8,74.8,23.7,74.7,0.0,0.0,65.9
103,-0.2,6.0,24.53,0.57,1.3,22.9,44.3,0.0,0.0,73.2,24.3,75.7,23.9,75.0,0.0,0.0,65.9
104,0.2,6.0,26.23,0.88,1.2,22.7,42.6,0.0,0.0,72.9,23.9,75.0,23.7,74.7,0.0,0.0,65.9
105,0.1,5.0,25.63,0.79,1.2,22.5,43.6,0.0,0.0,72.5,24.1,75.4,23.9,75.0,0.0,0.0,65.9
106,1.6,54.0,32.84,0.64,2.7,23.3,41.6,0.0,0.0,73.9,24.0,75.2,23.9,75.0,0.0,0.0,65.9
107,0.8,17.0,28.63,0.57,2.0,22.6,42.3,0.0,0.0,72.7,23.9,75.0,23.7,74.7,0.0,0.0,65.9
108,1.3,39.0,32.61,0.88,2.3,22.7,41.5,0.0,1.0,72.9,23.7,74.7,23.4,74.1,0.0,0.0,65.9
109,-0.2,6.0,24.32,0.63,1.2,22.7,42.0,0.0,0.0,72.9,23.9,75.0,23.6,74.5,0.0,0.0,65.9
110,0.9,22.0,29.65,0.66,2.0,22.8,40.6,0.0,0.0,73.0,24.4,75.9,24.2,75.6,0.0,0.0,65.9
111,0.5,9.0,26.88,0.54,1.7,23.1,39.8,0.0,0.0,73.6,24.4,75.9,24.2,75.6,0.0,0.0,65.9
112,0.5,10.0,27.28,0.7,1.6,23.3,39.7,0.0,0.0,73.9,23.5,74.3,23.5,74.3,0.0,0.0,65.9
113,-0.3,7.0,24.21,0.63,1.2,22.0,60.9,0.1,0.0,71.6,23.0,73.4,22.6,72.7,0.0,19.69,67.6
114,0.2,6.0,25.97,0.53,1.6,22.9,55.3,0.0,-1.0,73.2,23.1,73.6,23.0,73.4,1.0,0.0,67.6
115,1.3,41.0,31.86,0.57,2.5,22.5,54.9,0.0,-1.0,72.5,23.9,75.0,23.4,74.1,0.0,0.0,67.6
116,0.3,7.0,27.15,0.73,1.4,22.0,59.2,0.1,1.0,71.6,23.6,74.5,22.9,73.2,0.0,19.69,67.6
117,0.4,9.0,27.66,0.83,1.4,22.3,58.4,0.0,-1.0,72.1,24.4,75.9,23.8,74.8,1.0,0.0,67.6
118,0.4,9.0,27.0,0.56,1.6,23.5,52.8,0.0,0.0,74.3,24.2,75.6,24.1,75.4,0.0,0.0,67.6
119,0.1,5.0,25.67,0.76,1.2,22.4,54.3,0.0,0.0,72.3,24.5,76.1,23.9,75.0,0.0,0.0,67.6
120,0.5,9.0,27.02,0.56,1.6,23.6,52.2,0.0,1.0,74.5,24.3,75.7,24.1,75.4,0.0,0.0,67.6
121,0.7,17.0,28.7,0.54,1.8,23.1,54.8,0.0,0.0,73.6,24.9,76.8,24.4,75.9,0.0,0.0,67.6
122,0.4,8.0,27.27,0.88,1.2,22.5,60.5,0.1,0.0,72.5,24.2,75.6,23.6,74.5,0.0,19.69,67.6
123,0.0,5.0,25.68,0.58,1.2,22.2,58.5,0.1,0.0,72.0,25.9,78.6,24.3,75.7,1.0,19.69,67.6
124,1.0,25.0,30.78,0.88,1.7,23.5,56.0,0.0,1.0,74.3,24.5,76.1,24.4,75.9,-1.0,0.0,67.6
125,0.2,6.0,26.24,0.69,1.2,23.7,56.0,0.0,0.0,74.7,25.0,77.0,24.7,76.5,1.0,0.0,67.6
126,0.3,7.0,26.71,0.73,1.2,23.3,56.9,0.1,-1.0,73.9,24.9,76.8,24.3,75.7,0.0,19.69,67.6
127,0.4,8.0,26.85,0.59,1.4,23.6,56.2,0.0,0.0,74.5,24.4,75.9,24.3,75.7,0.0,0.0,67.6
128,0.3,6.0,26.47,0.57,1.4,22.7,59.5,0.1,0.0,72.9,24.2,75.6,23.6,74.5,0.0,19.69,67.6
129,0.6,13.0,27.84,0.58,1.6,23.8,55.3,0.0,0.0,74.8,25.0,77.0,24.9,76.8,0.0,0.0,67.6
130,0.3,7.0,26.24,0.64,1.2,24.3,54.2,0.0,0.0,75.7,25.1,77.2,25.0,77.0,0.0,0.0,67.6
131,0.6,12.0,27.42,0.61,1.4,24.8,53.1,0.0,0.0,76.6,24.9,76.8,24.9,76.8,0.0,0.0,67.6
132,0.1,5.0,25.57,0.58,1.2,23.9,50.7,0.0,0.0,75.0,25.4,77.7,25.2,77.4,0.0,0.0,67.6
133,0.3,7.0,26.34,0.68,1.2,23.9,52.2,0.0,0.0,75.0,25.6,78.1,25.1,77.2,0.0,0.0,67.6
134,0.9,20.0,29.1,0.67,1.6,24.5,49.5,0.0,1.0,76.1,26.4,79.5,25.9,78.6,0.0,0.0,67.6
